gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,group
PARS2,NA,-0.013056153,0.114,0.057,NA,NO
MRPS11,0.881100741,-0.013085759,0.786,0.486,1,NO
GABPB1-AS1,0.871613384,-0.013101321,0.814,0.714,1,NO
SLC7A6,0.415185534,-0.013169922,0.886,0.814,1,NO
CCDC176,0.478581535,-0.013296823,0.514,0.514,1,NO
ATP13A2,0.553032117,-0.013296823,0.871,0.829,1,NO
FAM180B,0.619235399,-0.013420516,0.071,0.1,1,NO
ASB11,NA,-0.013420516,0.1,0.086,NA,NO
CMTM2,0.936755763,-0.01346226,0.314,0.214,1,NO
RPL21P27,NA,-0.013546532,0.1,0.043,NA,NO
GABPB2,0.485115484,-0.013601266,0.786,0.714,1,NO
TRPV4,0.645308727,-0.013631866,0.429,0.3,1,NO
ATRX,0.515647805,-0.013689612,0.986,1,1,NO
TRPV1,0.682872094,-0.013849979,0.686,0.614,1,NO
PSIP1P1,0.799583343,-0.013939191,0.343,0.314,1,NO
ST3GAL4-AS1,0.791999472,-0.01402956,0.3,0.186,1,NO
DNTTIP1,0.798528558,-0.014158063,0.857,0.643,1,NO
MROH2B,0.6005995,-0.014213859,0.114,0.186,1,NO
LINC01011,0.404222713,-0.014260693,0.457,0.271,1,NO
G6PD,0.723430403,-0.014355293,0.2,0.157,1,NO
HSPA8P5,0.936597577,-0.014355293,0.186,0.3,1,NO
NUDCD2,0.92997231,-0.014372118,0.771,0.486,1,NO
KIAA1377,0.799034182,-0.014394682,0.843,0.714,1,NO
ADAMTS17,0.957387323,-0.014410443,0.7,0.671,1,NO
LRRC69,0.926154651,-0.014470483,0.6,0.457,1,NO
MTM1,0.806890918,-0.014505644,0.8,0.671,1,NO
SOX12,0.563560491,-0.014597376,0.529,0.514,1,NO
DNAJA1P3,0.899394447,-0.014646776,0.229,0.243,1,NO
RIMKLA,0.491992145,-0.014894215,0.543,0.429,1,NO
HMGB1P8,NA,-0.014950341,0.157,0.057,NA,NO
FAM13A-AS1,0.757534254,-0.014984098,0.7,0.629,1,NO
RPS6KA3,0.536055198,-0.015069813,0.986,0.943,1,NO
CBS,0.925012908,-0.015106892,0.143,0.157,1,NO
TMEM108-AS1,0.717503812,-0.015138597,0.4,0.271,1,NO
VPS33B,0.340774709,-0.015163601,0.643,0.571,1,NO
SNORD114-25,0.982345644,-0.015266757,0.114,0.143,1,NO
ASF1A,0.470714018,-0.015512999,0.543,0.414,1,NO
ZNF252P,NA,-0.015512999,0.2,0.214,NA,NO
NCAM1,0.938325149,-0.01553586,0.971,0.943,1,NO
AGK,NA,-0.015566649,0.886,0.786,NA,NO
CEP89,0.904611857,-0.015740849,0.714,0.6,1,NO
RNA5SP195,0.848178975,-0.016119665,0.114,0.129,1,NO
SNORD114-16,0.915847041,-0.016119665,0.1,0.129,1,NO
FARSB,0.446933349,-0.016171291,0.8,0.743,1,NO
PIGM,NA,-0.016187491,0.471,0.271,NA,NO
GGA3,0.823390098,-0.016236289,0.714,0.686,1,NO
MIR8066,0.823147535,-0.016301812,0.143,0.1,1,NO
SNORA66,0.902259702,-0.016301812,0.071,0.1,1,NO
B3GNT3,NA,-0.016301812,0.114,0.129,NA,NO
NLK,0.936577528,-0.016399688,1,0.914,1,NO
ENOX1-AS2,0.765824219,-0.016488123,0.143,0.129,1,NO
TMEM205,0.842805566,-0.016495664,0.929,0.829,1,NO
DVL2,NA,-0.016572301,0.557,0.443,NA,NO
MIR27B,0.780871677,-0.016678741,0.143,0.114,1,NO
MYH16,0.868237584,-0.016678741,0.071,0.114,1,NO
MS4A13,0.875372162,-0.016678741,0.129,0.1,1,NO
RIC1,0.221301949,-0.016700737,0.914,0.9,1,NO
RNPC3P1,0.769474042,-0.016873819,0.171,0.129,1,NO
MYBPC2,0.799761358,-0.016873819,0.114,0.171,1,NO
C4orf47,0.678393576,-0.016943763,0.686,0.657,1,NO
PSMF1,0.827112059,-0.017063068,0.929,0.8,1,NO
GABRP,0.828926207,-0.017073513,0.114,0.057,1,NO
LINC01299,0.845117895,-0.017073513,0.114,0.029,1,NO
CANT1,0.836523202,-0.017141133,0.371,0.214,1,NO
CSNK1G1,0.54852443,-0.01715867,0.971,0.943,1,NO
CELA3B,0.773564033,-0.017277991,0.086,0.186,1,NO
SNORD45C,0.985715027,-0.017277991,0.071,0.129,1,NO
NIPSNAP1,0.8372217,-0.017303896,0.857,0.771,1,NO
ZNF337,0.735082559,-0.017450639,0.743,0.671,1,NO
MIR6796,0.748609078,-0.017487427,0.157,0.157,1,NO
MIR24-1,0.779496672,-0.017487427,0.114,0.143,1,NO
ZNF662,NA,-0.017558371,0.186,0.157,NA,NO
NT5C3A,0.737697819,-0.017573649,0.843,0.829,1,NO
DARS2,0.872058052,-0.017623368,0.586,0.586,1,NO
RHOQP3,0.826733171,-0.017702002,0.143,0.029,1,NO
MAP1LC3B,0.706329366,-0.017747848,0.986,0.929,1,NO
ASAP1-IT1,NA,-0.017789313,0.243,0.129,NA,NO
DDX41,0.59905604,-0.017817065,0.814,0.686,1,NO
HIVEP1,0.824846008,-0.017886485,0.871,0.757,1,NO
RPL35AP13,0.832276544,-0.017921908,0.1,0.057,1,NO
PGK1P2,0.854608333,-0.017921908,0.114,0.1,1,NO
SVOPL,NA,-0.017921908,0.371,0.5,NA,NO
RAD18,0.625338085,-0.01807346,0.714,0.629,1,NO
MIR8485,0.834675673,-0.018147347,0.1,0.057,1,NO
NKAIN1,0.743473816,-0.018147347,0.586,0.571,1,NO
HYDIN,0.6512212,-0.018309419,0.9,0.857,1,NO
BMS1P8,0.832334532,-0.018378529,0.114,0.086,1,NO
NPRL2,0.856713432,-0.018500433,0.671,0.671,1,NO
SYCP2L,0.631244171,-0.018535951,0.529,0.514,1,NO
CCNB1,NA,-0.018575729,0.286,0.214,NA,NO
NTRK3,0.519826725,-0.01857602,0.971,0.957,1,NO
AADACL3,0.812389957,-0.018615678,0.071,0.114,1,NO
ST13P4,0.834543212,-0.018615678,0.1,0.1,1,NO
ZGPAT,0.864406203,-0.018648492,0.786,0.771,1,NO
LINC00937,NA,-0.01871226,0.6,0.443,NA,NO
PPP2R5C,0.581108855,-0.018790676,0.971,0.943,1,NO
SUPT6H,0.965938045,-0.018798845,0.943,0.886,1,NO
NXF3,0.819305428,-0.018859027,0.071,0.1,1,NO
ZNF81,0.765849243,-0.018908463,0.529,0.586,1,NO
CTXN3,NA,-0.019108823,0.157,0.114,NA,NO
CHD4,0.440671211,-0.019182931,0.943,0.843,1,NO
CDS1,0.502829322,-0.019272195,0.814,0.657,1,NO
WDR70,0.811249022,-0.01932611,0.943,0.971,1,NO
YTHDF1,0.766674132,-0.019628807,0.614,0.629,1,NO
TEX9,0.467178859,-0.019682366,0.629,0.5,1,NO
DPP6,0.710768495,-0.019753321,1,1,1,NO
SNORD113-2,0.935270365,-0.019808481,0.314,0.286,1,NO
TRAPPC11,NA,-0.019851236,0.786,0.557,NA,NO
INTU,NA,-0.019948946,0.857,0.714,NA,NO
ACAD10,0.39655971,-0.0203815,0.586,0.457,1,NO
EXOSC1,0.751258163,-0.020476731,0.7,0.543,1,NO
ENO1-AS1,NA,-0.020561322,0.2,0.071,NA,NO
CSNK1A1,0.636738488,-0.020573824,0.971,0.957,1,NO
RUNDC3A-AS1,NA,-0.020659471,0.271,0.314,NA,NO
THUMPD3,0.993138098,-0.020730152,1,1,1,NO
BSG,0.589240621,-0.020756008,1,0.929,1,NO
FOXJ2,0.350827655,-0.020772793,0.571,0.557,1,NO
CCDC36,0.81076145,-0.020844254,0.557,0.657,1,NO
PPIAP19,NA,-0.021061616,0.1,0.114,NA,NO
DYNC1I2,0.679895902,-0.021116831,0.986,0.929,1,NO
CRK,0.820053357,-0.021143151,0.929,0.886,1,NO
ZBTB34,0.705277892,-0.02118533,0.4,0.314,1,NO
CPSF6,0.648059487,-0.021306607,0.971,0.943,1,NO
DDX1,0.898062957,-0.021318119,0.986,0.871,1,NO
PHAX,0.501672583,-0.021328509,0.643,0.571,1,NO
HDAC8,0.585688925,-0.02136124,0.943,0.871,1,NO
TREX1,0.526932422,-0.021408893,0.414,0.257,1,NO
DCP2,NA,-0.02145311,0.857,0.729,NA,NO
EIF1AX,0.516299795,-0.021673343,0.986,0.9,1,NO
GPRC5D,NA,-0.021695071,0.2,0.271,NA,NO
ERO1L,0.521597796,-0.02176836,0.9,0.9,1,NO
TOLLIP-AS1,0.863878051,-0.02180437,0.143,0.157,1,NO
UGDH-AS1,NA,-0.021859434,0.271,0.3,NA,NO
RNMT,0.878375608,-0.021859434,0.871,0.871,1,NO
MAP2K5,0.624313018,-0.021909953,0.943,0.914,1,NO
RPS20P27,NA,-0.022026306,0.343,0.114,NA,NO
ATP1A1,0.906001401,-0.022121297,0.971,0.957,1,NO
CLNS1A,0.632538963,-0.022155644,0.729,0.629,1,NO
DGCR8,0.86949372,-0.022333187,0.657,0.571,1,NO
PPIL4,0.762788808,-0.0224442,0.943,0.814,1,NO
RPL29P15,NA,-0.022601429,0.2,0.143,NA,NO
PLCL2,0.681752092,-0.022662044,0.943,0.9,1,NO
SMU1,0.723044047,-0.022769728,0.929,0.843,1,NO
H2AFY2,0.602555342,-0.022880225,0.671,0.471,1,NO
FBXL8,0.725480118,-0.022900402,0.171,0.143,1,NO
KIAA1217,0.643961832,-0.022965717,0.957,0.957,1,NO
PPP2CA,0.368833562,-0.022992921,0.986,0.957,1,NO
ARAP2,0.773127578,-0.02313009,0.957,0.871,1,NO
KPTN,0.750173053,-0.023157721,0.529,0.4,1,NO
SLC19A3,NA,-0.023363993,0.2,0.171,NA,NO
KLHL10,NA,-0.023458973,0.157,0.143,NA,NO
COASY,0.899542121,-0.023506753,0.614,0.5,1,NO
C9orf114,0.425445156,-0.023517807,0.586,0.486,1,NO
ZFP90,0.561278357,-0.02364409,0.843,0.7,1,NO
ST3GAL4,0.651724165,-0.023704261,0.629,0.471,1,NO
OGFOD3,0.453585725,-0.023716069,0.743,0.571,1,NO
MRPL42,NA,-0.023822131,0.657,0.443,NA,NO
LINC00115,0.702348754,-0.023945696,0.329,0.157,1,NO
ANO10,0.989032594,-0.023959051,0.929,0.843,1,NO
STAT4,0.433909247,-0.02398668,0.657,0.686,1,NO
PLSCR4,NA,-0.024012122,0.186,0.186,NA,NO
TPM3P1,0.675153185,-0.024045474,0.143,0.057,1,NO
PAN2,0.693710724,-0.024074135,0.614,0.457,1,NO
RPH3AL,0.643810917,-0.024146087,0.471,0.4,1,NO
ZFHX2,0.404473139,-0.024247546,0.514,0.457,1,NO
TBC1D5,0.648895717,-0.024544048,0.986,0.971,1,NO
RAD51AP2,NA,-0.024578023,0.286,0.2,NA,NO
ACOT13,0.881435847,-0.024701153,0.971,0.971,1,NO
PPM1K,0.91949951,-0.024705149,0.986,0.929,1,NO
MPG,0.837567113,-0.024792461,0.714,0.429,1,NO
ZNF468,0.713499783,-0.024922415,0.429,0.357,1,NO
ULK3,0.738134236,-0.025125941,0.9,0.7,1,NO
ST3GAL2,0.945808518,-0.025266759,0.857,0.757,1,NO
SLC27A6,NA,-0.025311089,0.129,0.171,NA,NO
SLC25A42,0.965812188,-0.025337761,0.829,0.8,1,NO
MAD2L1BP,0.718464759,-0.025621473,0.543,0.414,1,NO
SAMD15,NA,-0.025809186,0.257,0.214,NA,NO
EP400,0.886304613,-0.02589203,0.971,0.929,1,NO
MAP4K3,0.69768567,-0.025893008,0.986,0.943,1,NO
ASCC3,0.738576621,-0.025918467,0.957,0.943,1,NO
ALDH3A2,0.569435987,-0.026077646,0.857,0.743,1,NO
ING2,0.948384008,-0.026311277,0.757,0.586,1,NO
ARHGAP28,NA,-0.026375415,0.443,0.486,NA,NO
CCDC170,0.539927881,-0.026418348,0.586,0.371,1,NO
RPS12P9,0.990712657,-0.026472211,0.114,0.071,1,NO
LINC01307,NA,-0.026472211,0.086,0.229,NA,NO
BLM,0.415831787,-0.026472211,0.329,0.471,1,NO
SNRNP200,0.65853508,-0.026578899,0.914,0.9,1,NO
DDI2,0.648166638,-0.02659421,0.5,0.571,1,NO
PKD1P6,0.909150517,-0.026635127,0.771,0.757,1,NO
LCMT1,0.410052251,-0.026763445,0.929,0.871,1,NO
KIF13B,0.454792489,-0.026791092,0.814,0.743,1,NO
DCAKD,0.820412702,-0.026866606,0.657,0.657,1,NO
PHC1P1,0.885080786,-0.026967048,0.243,0.214,1,NO
SNORA73B,0.890731563,-0.026967048,0.143,0.086,1,NO
KIF27,0.209757999,-0.027034427,0.6,0.6,1,NO
EMX2,0.801907979,-0.027221469,0.157,0.114,1,NO
PPOX,0.950417786,-0.027289222,0.5,0.386,1,NO
PP2D1,0.7060095,-0.027428489,0.343,0.4,1,NO
ZNF296,0.895948942,-0.027480736,0.086,0.157,1,NO
NONOP1,NA,-0.027480736,0.157,0.186,NA,NO
EIF2B4,0.747373833,-0.027480736,0.829,0.7,1,NO
COG6,0.944906233,-0.027554403,0.914,0.871,1,NO
GATAD1,0.612695078,-0.027617977,0.9,0.729,1,NO
SGPL1,0.569817961,-0.027628095,0.886,0.829,1,NO
SLC2A3P1,NA,-0.027656343,0.214,0.157,NA,NO
LEPROTL1,0.617747297,-0.027741124,0.829,0.743,1,NO
NPSR1-AS1,NA,-0.027798452,0.414,0.357,NA,NO
MCTP1,0.965722895,-0.027844581,0.943,0.971,1,NO
LINC00969,0.801989142,-0.02791371,0.957,0.871,1,NO
MEF2C,0.890350436,-0.02799673,1,0.971,1,NO
TXNL1,0.551110001,-0.028014376,0.971,0.914,1,NO
F10-AS1,0.710830397,-0.028014376,0.129,0.1,1,NO
ARFGEF2,0.870079235,-0.028079973,0.929,0.9,1,NO
PTPN23,0.678637264,-0.028082542,0.643,0.686,1,NO
SLC25A5-AS1,NA,-0.028289044,0.129,0.114,NA,NO
PCMTD2,0.340240342,-0.028367491,0.643,0.571,1,NO
METAP2,0.829391311,-0.028477924,0.957,0.943,1,NO
ISCU,0.345183336,-0.028511078,0.971,0.886,1,NO
ITIH6,0.916807125,-0.028569152,0.2,0.157,1,NO
ATP8B2,0.71431255,-0.028644787,0.886,0.8,1,NO
KAT6A,0.873707433,-0.028736528,0.9,0.8,1,NO
MKNK2,NA,-0.028770239,0.871,0.657,NA,NO
C1orf146,0.435946249,-0.028797264,0.443,0.314,1,NO
ATF7IP2,0.526192177,-0.028815839,0.971,0.929,1,NO
TTTY15,0.905147589,-0.029011087,0.714,0.7,1,NO
NFAT5,0.807554658,-0.029107071,0.986,1,1,NO
METTL25,0.38943404,-0.02951328,0.729,0.586,1,NO
NPIPB11,0.883547349,-0.029519087,0.729,0.7,1,NO
ZC3H15,0.590464042,-0.029644913,0.986,0.914,1,NO
CPTP,0.887555577,-0.029747343,0.329,0.157,1,NO
CA11,NA,-0.029754826,0.971,0.929,NA,NO
PTBP3,0.931618245,-0.029893158,0.971,0.886,1,NO
SPAST,0.798618724,-0.030038826,0.857,0.8,1,NO
PHOSPHO2,NA,-0.030057234,0.214,0.157,NA,NO
MYO3A,NA,-0.030119988,0.357,0.414,NA,NO
GTDC1,0.532415812,-0.030315852,0.971,0.943,1,NO
SNORA6,0.980311501,-0.030373649,0.1,0.071,1,NO
DAB1,0.604741292,-0.030385192,1,1,1,NO
ZNF181,0.738022222,-0.030502088,0.414,0.314,1,NO
PACS1,0.812497686,-0.030572775,0.957,0.957,1,NO
PDE6G,0.989587252,-0.03058832,0.171,0.086,1,NO
CHST10,0.841215377,-0.030631619,0.514,0.443,1,NO
BTBD18,NA,-0.030631619,0.214,0.186,NA,NO
LINC00609,NA,-0.030650213,0.257,0.157,NA,NO
FRY-AS1,NA,-0.030696797,0.243,0.243,NA,NO
ZNF701,NA,-0.030696797,0.371,0.243,NA,NO
TBC1D10A,NA,-0.030799196,0.657,0.571,NA,NO
DNAH7,0.970165935,-0.030894008,0.886,0.871,1,NO
OR2L13,0.866804942,-0.03096193,0.657,0.614,1,NO
MIR29B2,0.829589903,-0.031026896,0.157,0.157,1,NO
SNORD114-27,0.859178879,-0.031026896,0.1,0.086,1,NO
LNPEP,0.959171678,-0.031070859,0.886,0.8,1,NO
USP14,0.847987539,-0.031161778,0.971,0.9,1,NO
HDHD2,0.74042451,-0.031220875,0.643,0.557,1,NO
KLHL9,0.6156556,-0.031309277,0.671,0.286,1,NO
CSNK2A1,0.619894358,-0.031336551,0.957,0.857,1,NO
XPOT,0.799811872,-0.031514423,0.886,0.686,1,NO
PDXDC2P,0.720327973,-0.031649475,0.986,0.929,1,NO
HPS6,NA,-0.03170886,0.129,0.043,NA,NO
ALDOAP2,0.779276294,-0.03170886,0.257,0.229,1,NO
RIC8B,0.854817978,-0.031756296,0.943,0.829,1,NO
TGDS,0.941195827,-0.031808738,0.343,0.257,1,NO
MTURN,0.669455175,-0.03188891,1,0.871,1,NO
SMYD1,NA,-0.032061209,0.157,0.171,NA,NO
ZNF706,0.592639552,-0.032077517,0.986,0.9,1,NO
NME9,0.976159878,-0.032193004,0.6,0.443,1,NO
IDH1,0.7019806,-0.032378673,0.7,0.643,1,NO
SAMD7,0.961799857,-0.032421478,0.114,0.114,1,NO
FMR1-AS1,NA,-0.032421478,0.157,0.114,NA,NO
TPTE2P1,0.939452333,-0.032643269,0.614,0.6,1,NO
STAMBP,NA,-0.032729941,0.714,0.643,NA,NO
DUXB,0.509140023,-0.032789935,0.329,0.343,1,NO
CD22,0.782800724,-0.032789935,0.186,0.157,1,NO
MIR99AHG,NA,-0.032914622,0.729,0.714,NA,NO
SLC2A13,0.28997003,-0.032939861,0.986,0.971,1,NO
MAST3,0.857806897,-0.032966051,0.986,0.971,1,NO
PPHLN1,0.94258755,-0.032968471,0.914,0.914,1,NO
RNF168,0.623216656,-0.033071822,0.886,0.786,1,NO
SPATA31D5P,0.84154229,-0.033166864,0.157,0.086,1,NO
GK6P,NA,-0.033166864,0.1,0.057,NA,NO
DEPDC1P1,0.915515055,-0.033166864,0.371,0.314,1,NO
COPS2,0.544851788,-0.033190464,0.9,0.814,1,NO
MED24,0.839321059,-0.033225624,0.814,0.657,1,NO
RB1CC1,0.577430895,-0.033451223,0.986,0.943,1,NO
THRIL,NA,-0.03355256,0.171,0.086,NA,NO
SLC6A6,0.782416909,-0.03367755,0.886,0.786,1,NO
PET117,0.87303459,-0.033683126,0.443,0.4,1,NO
GHRLOS,NA,-0.033947332,0.229,0.157,NA,NO
VTCN1,NA,-0.033947332,0.329,0.286,NA,NO
IFT74,0.938282163,-0.034103375,0.743,0.629,1,NO
MPP4,0.936414543,-0.03437558,0.514,0.457,1,NO
S100A1,0.50271264,-0.034488376,0.343,0.229,1,NO
PTPN2P1,0.868382748,-0.034488376,0.357,0.271,1,NO
LRRC3B,0.940937958,-0.034518941,0.357,0.357,1,NO
VCPKMT,0.7493164,-0.034684529,0.614,0.557,1,NO
GON4L,0.555159507,-0.034695741,0.943,0.957,1,NO
GABARAPL3,0.856618459,-0.034765418,0.057,0.114,1,NO
MIR3671,0.924782573,-0.034765418,0.071,0.1,1,NO
MIR125B1,0.940589099,-0.034765418,0.1,0.114,1,NO
CPT1B,NA,-0.034765418,0.271,0.186,NA,NO
RAMP2-AS1,NA,-0.034765418,0.143,0.1,NA,NO
CIPC,0.900991244,-0.034765418,0.657,0.571,1,NO
CEP97,0.957066774,-0.034814771,0.771,0.786,1,NO
EGLN1,0.76323798,-0.034824163,0.871,0.771,1,NO
ZNF17,NA,-0.035018589,0.4,0.3,NA,NO
BOP1,0.853852189,-0.035029218,0.671,0.543,1,NO
ERH,0.906887653,-0.035189428,0.829,0.657,1,NO
PPM1L,0.83076626,-0.03526834,0.971,0.971,1,NO
CEP85L,0.554553267,-0.035281291,0.914,0.929,1,NO
ANKRD30BP1,0.772723475,-0.035333073,0.286,0.214,1,NO
SLC35E1,0.732153831,-0.035378203,0.814,0.714,1,NO
NDUFB6,0.907489228,-0.03552957,0.971,0.8,1,NO
VARS2,0.877617738,-0.035593601,0.771,0.643,1,NO
FBXO48,NA,-0.03562391,0.129,0.043,NA,NO
DNAJC8P1,0.81600847,-0.03562391,0.143,0.129,1,NO
PGM5P3-AS1,0.876772895,-0.03562391,0.114,0.057,1,NO
KIAA1429,0.556282398,-0.035637879,0.857,0.729,1,NO
FILIP1,0.884762511,-0.03565427,0.443,0.357,1,NO
LINC00506,NA,-0.035704062,0.257,0.229,NA,NO
FUT11,0.379855812,-0.035845199,0.514,0.386,1,NO
KIAA2026,0.990881525,-0.035966957,0.986,0.943,1,NO
TAB3P1,NA,-0.036004953,0.1,0.114,NA,NO
NCAPG,0.817853853,-0.036004953,0.471,0.343,1,NO
ATP5A1P3,0.842353924,-0.036069255,0.114,0.086,1,NO
STRADA,0.634972095,-0.036196362,0.929,0.886,1,NO
OXCT1,0.960386271,-0.036197811,0.929,0.914,1,NO
HIF3A,0.450759604,-0.036220188,0.271,0.4,1,NO
ANXA3,0.957822066,-0.036220188,0.086,0.129,1,NO
LRRC73,0.922027068,-0.03641064,0.314,0.3,1,NO
SLC29A4P1,0.826831126,-0.036525876,0.114,0.114,1,NO
TNRC18P1,0.737802719,-0.036525876,0.171,0.157,1,NO
BRDT,0.773580479,-0.036711778,0.314,0.371,1,NO
ZNF768,NA,-0.036836768,0.157,0.114,NA,NO
SYN3,0.636223585,-0.036855753,0.971,0.957,1,NO
HSPA8P7,0.864457925,-0.036994207,0.071,0.129,1,NO
HSPE1,0.997156097,-0.037025168,0.943,0.771,1,NO
ZNF211,0.805167129,-0.037122356,0.957,0.986,1,NO
OCLN,NA,-0.037281016,0.357,0.486,NA,NO
BHMG1,0.72335069,-0.037474705,0.214,0.329,1,NO
FAM45A,NA,-0.03778883,0.8,0.529,NA,NO
SNAP47,0.937340805,-0.037863563,0.671,0.571,1,NO
C6orf106,0.920213272,-0.038259333,0.886,0.857,1,NO
YWHAZP6,0.982622016,-0.038474148,0.343,0.357,1,NO
SLC25A10,0.564989425,-0.038474148,0.129,0.143,1,NO
ATP6V1C2,0.422813437,-0.03854758,0.657,0.429,1,NO
KLHL3,0.696130573,-0.038623238,0.814,0.671,1,NO
C1orf198,NA,-0.038665109,0.514,0.386,NA,NO
SPRY3,0.634698775,-0.038732394,0.557,0.5,1,NO
PEBP4,0.752118934,-0.03878762,0.771,0.686,1,NO
DUSP27,NA,-0.038819249,0.129,0.029,NA,NO
METTL18,NA,-0.03909982,0.157,0.071,NA,NO
HELZ,0.533483662,-0.039175812,0.943,0.914,1,NO
MEF2BNB,0.942444003,-0.03932632,0.5,0.257,1,NO
H2AFX,0.854638848,-0.039460786,0.657,0.429,1,NO
CCDC102B,0.953513453,-0.039482,0.743,0.657,1,NO
FIGNL2,0.384059977,-0.039528364,0.257,0.257,1,NO
CCSER1,0.8431324,-0.039666545,1,1,1,NO
IPO11,0.944242401,-0.03966797,0.857,0.843,1,NO
ZNF658,NA,-0.03970971,0.214,0.157,NA,NO
TMEM211,NA,-0.039770529,0.314,0.157,NA,NO
SPIN2B,0.827206811,-0.040077439,0.257,0.171,1,NO
PFKL,0.555144522,-0.040129293,0.943,0.857,1,NO
RLIM,0.713092458,-0.040224478,0.771,0.6,1,NO
MTHFD2P1,0.819100341,-0.04026387,0.171,0.157,1,NO
TBC1D19,0.545289281,-0.040287859,0.886,0.786,1,NO
ZNF519,0.854090366,-0.040325754,0.8,0.671,1,NO
NUDT16L1,0.18528588,-0.040338929,0.6,0.443,1,NO
C11orf71,0.768387638,-0.040357738,0.343,0.243,1,NO
LDHB,0.995476339,-0.040378768,1,0.886,1,NO
SCAND1,0.643944385,-0.040385983,0.857,0.643,1,NO
GLB1,0.436905305,-0.040511209,0.871,0.8,1,NO
ZNF836,NA,-0.040641984,0.243,0.3,NA,NO
WDR82,0.244557761,-0.040830215,0.886,0.671,1,NO
ZNF426,NA,-0.040886323,0.429,0.471,NA,NO
FAM109A,NA,-0.040988411,0.357,0.229,NA,NO
NRXN2,0.44119476,-0.041082906,0.857,0.771,1,NO
MICU1,0.855268438,-0.041164546,0.971,0.943,1,NO
ZNF549,0.80529743,-0.041183435,0.243,0.286,1,NO
BCAP29,0.844425245,-0.041233374,0.914,0.857,1,NO
CAB39,0.874737254,-0.041246235,0.957,0.886,1,NO
CDH18,0.870630444,-0.041398179,0.986,1,1,NO
SRRM2,0.592232911,-0.041421035,1,0.957,1,NO
BBS9,0.7165033,-0.041512323,0.886,0.9,1,NO
HMGN1P1,0.923673731,-0.041519269,0.114,0.129,1,NO
ATL2,0.406341713,-0.041652629,0.971,0.914,1,NO
RETSAT,0.34393725,-0.041820176,0.386,0.3,1,NO
SRF,0.493689508,-0.041891612,0.657,0.6,1,NO
NUDT12,0.847273702,-0.042023215,0.229,0.157,1,NO
SNAP29,0.349479306,-0.042052382,0.757,0.629,1,NO
PPARGC1A,0.746797439,-0.042053672,0.986,1,1,NO
ADAMTS2,0.969347059,-0.04206406,0.543,0.529,1,NO
DIP2C,0.400450652,-0.042292576,0.971,1,1,NO
TAX1BP1,0.450909328,-0.042400794,0.971,0.943,1,NO
MIR29A,0.719910801,-0.042644337,0.2,0.071,1,NO
DRD4,0.991086189,-0.042644337,0.114,0.086,1,NO
NBPF19,0.353931529,-0.042784866,0.529,0.371,1,NO
PSMG4,0.581239817,-0.04294661,0.586,0.557,1,NO
ALDH4A1,NA,-0.042988508,0.371,0.286,NA,NO
RPL31P61,0.783697257,-0.043068722,0.129,0.114,1,NO
SNORD113-6,0.97087641,-0.043068722,0.2,0.2,1,NO
DGCR11,NA,-0.043068722,0.1,0.086,NA,NO
AIM1,0.976322507,-0.043230052,0.529,0.543,1,NO
PTGES3L,NA,-0.043439261,0.186,0.157,NA,NO
EFCAB2,0.934887381,-0.043443671,0.971,0.971,1,NO
DRP2,0.315631638,-0.043547716,0.857,0.743,1,NO
C8orf89,NA,-0.043589269,0.243,0.214,NA,NO
CYB5R4,0.826661929,-0.043791761,0.9,0.786,1,NO
THAP9,NA,-0.043943348,0.286,0.157,NA,NO
RPS20P5,NA,-0.04405518,0.171,0.1,NA,NO
PTPRR,0.526946255,-0.044079525,0.957,0.971,1,NO
STK38,0.96764031,-0.044122553,0.729,0.614,1,NO
CCNY,0.377718837,-0.044418917,0.986,0.943,1,NO
TDG,0.391613909,-0.044444777,0.9,0.714,1,NO
PID1,0.284679618,-0.044498046,0.929,0.914,1,NO
NEURL1-AS1,NA,-0.044590151,0.271,0.186,NA,NO
NAP1L1,0.621602793,-0.044759285,0.986,0.971,1,NO
TPTE2P2,NA,-0.044854236,0.229,0.329,NA,NO
PAICSP1,0.733085341,-0.044963888,0.629,0.514,1,NO
ZNF34,0.87755523,-0.045052686,0.557,0.671,1,NO
EMP2,NA,-0.04508789,0.257,0.2,NA,NO
C2CD4D,0.85900053,-0.04508789,0.129,0.086,1,NO
FZD7,0.880311542,-0.04508789,0.114,0.071,1,NO
DND1,0.917084727,-0.04508789,0.114,0.1,1,NO
COPB2,0.97403382,-0.045137102,0.857,0.771,1,NO
ANO5,0.408613015,-0.045270461,0.914,0.914,1,NO
NGRN,0.667278978,-0.045389016,0.914,0.829,1,NO
OPLAH,NA,-0.045442971,0.1,0.071,NA,NO
HNRNPU,0.925432539,-0.045639439,1,0.957,1,NO
XRCC6BP1,0.958356956,-0.045642666,0.257,0.186,1,NO
RPSAP30,NA,-0.04580369,0.129,0.086,NA,NO
ARFGEF1,0.527666055,-0.046125295,0.957,0.929,1,NO
ABCD4,0.818368188,-0.046170181,0.8,0.686,1,NO
THEG,NA,-0.046293652,0.286,0.243,NA,NO
MTUS2,0.538967868,-0.046525209,0.943,0.957,1,NO
ZBTB43,0.920718359,-0.046533649,0.886,0.829,1,NO
OCIAD1,0.870325304,-0.046590306,1,0.843,1,NO
PPP1R1A,0.883196119,-0.046610942,0.571,0.414,1,NO
