"","sample_id","major_type","contam_type","marker_sum","marker_sum_norm","contam_sum","quality_score","Glutamatergic","Astro","Endo","GABAergic","Microglia","Oligo","Peri","SMC","VLMC","QC_pass"
"1148","20190731_sample_5","GABAergic","Pvalb_on",120.689292187485,0.562287078049707,NA,0.301039261171992,0.0229742367428499,0.0396214240276759,NA,-Inf,0.0993598988662203,-0.01667099888522,NA,NA,0.0489296998460714,TRUE
"1149","20190731_sample_6","GABAergic","Sncg_on",75.2121117144188,0.350410527424022,NA,0.278458834325435,-0.0225490541672526,-0.043710125582496,NA,-Inf,0.00257796302626271,-0.0136111540927093,NA,NA,-0.0288582767598218,FALSE
"1150","20190731_sample_8","GABAergic","Pvalb_on",153.884575700825,0.716942711813399,NA,0.412699712580973,0.0100360619843512,0.0286540112654693,NA,-Inf,0.0604154234341779,-0.0109246856730593,NA,NA,0.0409483652619552,TRUE
"1151","20190801_sample_1","Glutamatergic","L5.IT_on",180.252578165643,0.831484668530297,NA,0.462653181342258,-Inf,0.156690851605024,NA,0.0829152531035991,0.0313412055474425,0.0340218263907088,NA,NA,-0.00975870732749359,TRUE
"1152","20190801_sample_2","GABAergic","Sst_on",113.171652036859,0.527262662565037,NA,0.33263435865238,-0.0722608513411601,-0.0203854798507268,NA,-Inf,0.00257796302626271,-0.016071886567114,NA,NA,-0.0288582767598218,TRUE
"1153","20190801_sample_3","GABAergic","Sst_on",143.688218090653,0.669438247884099,NA,0.419089640505943,0.0594489343387836,0.10637916073213,NA,-Inf,0.0274444475651033,0.00544258340083729,NA,NA,0.0130736853578599,TRUE
"1154","20190801_sample_4","GABAergic","Sst_on",131.110186929096,0.610837652410697,NA,0.325727422243974,-0.0390201677870016,0.00996670901576452,NA,-Inf,0.0907664562756866,0.152684191013929,NA,NA,-0.0288582767598218,TRUE
"1155","20190801_sample_7","GABAergic","Sst_on",190.580302177979,0.88790678363592,NA,0.498238193814016,0.102819941999652,0.0817968048075632,NA,-Inf,0.0255985018929374,0.0337434420491561,NA,NA,-0.00431553389564487,TRUE
"1156","20190801_sample_8","GABAergic","Sncg_on",78.5722391663235,0.366065240551936,NA,0.248658023638284,0.0444781407541882,0.124732520534312,NA,-Inf,0.0254580707749855,0.0359317842596176,NA,NA,-0.00171102829985169,FALSE
"1157","20190820_sample_1","GABAergic","Sst_on",183.685544220509,0.855784353919924,NA,0.481316258144074,0.0583834224687983,-0.0296117440630753,NA,-Inf,0.0046541597150909,-0.0175710342348521,NA,NA,-0.00672350253176772,TRUE
"1158","20190820_sample_2","Glutamatergic","L6.CT_on",198.490745428257,0.915615262473971,NA,0.443955876718256,-Inf,0.156765699380467,NA,-0.0379511592014022,0.139041626215508,0.0412338812622794,NA,NA,0.00557494337618598,TRUE
"1159","20190820_sample_3","GABAergic","Sst_on",188.689169978037,0.879096066631637,NA,0.283706788101321,-0.0659086337480968,0.0616178272037813,NA,-Inf,0.474871694184878,0.0610884074377669,NA,NA,0.0438752629316182,TRUE
"1160","20190820_sample_5","GABAergic","Sst_on",128.998436073336,0.600999081011922,NA,0.3176662695141,-0.0398857969268453,0.00380302808671518,NA,-Inf,0.00703137894938445,-0.00105914211722073,NA,NA,0.000155937607849938,TRUE
"1161","20190820_sample_6","Glutamatergic","L6.CT_on",163.593177773691,0.754636746831853,NA,0.415040093428597,-Inf,0.0302940105208757,NA,0.0915025653738381,0.0256475001698127,0.0175801081184139,NA,NA,0.0354889497065771,TRUE
"1162","20190821_sample_1","Glutamatergic","L5.IT_on",156.383573437967,0.721379660956415,NA,0.339723410101009,-Inf,0.0271661914152261,NA,-0.0370891823153985,0.0745397505899394,-0.0297452197602814,NA,NA,-0.0232995424894306,TRUE
"1163","20190821_sample_2","Glutamatergic","L5.IT_on",122.084505081305,0.563161954593129,NA,0.396053029841106,-Inf,0.0111828994716509,NA,0.068579842727673,0.0236944181171921,-0.0192153848416693,NA,NA,-0.0151367001559842,TRUE
"1164","20190821_sample_3","Glutamatergic","L6.CT_on",109.963051440018,0.507247065798756,NA,0.328870878159224,-Inf,0.0165321824631738,NA,0.0151226211694919,0.0203367541456062,0.0863975796371859,NA,NA,0.00351160042761421,TRUE
"1165","20190821_sample_4","Glutamatergic","L4_on",160.407169966705,0.7399400547108,NA,0.417264853523598,-Inf,0.0316177738745353,NA,0.000350704896602796,0.0194198592730556,0.0372108648581011,NA,NA,-0.0209832514298697,TRUE
"1166","20190821_sample_5","Glutamatergic","L6.IT_on",125.482439738653,0.578836241202533,NA,0.369872959053945,-Inf,0.000579283854306294,NA,0.0777408189444826,0.108128007336245,0.102575810212311,NA,NA,0.0436648825206009,TRUE
"1167","20190821_sample_6","Glutamatergic","L4_on",194.056599810688,0.895161052406299,NA,0.444245237874159,-Inf,0.109642322041488,NA,0.0924814826765549,0.0720791837995454,0.0104727936183807,NA,NA,0.0531639065119019,TRUE
"1168","20190821_sample_7","Glutamatergic","L5.IT_on",163.032082402266,0.752048477617227,NA,0.400259157848108,-Inf,0.0178229516781309,NA,0.00244831479366545,0.08134693896947,-0.0182887059650034,NA,NA,-0.0245806233673984,TRUE
"1169","20190823_sample_1","Glutamatergic","L4_on",200.753031794387,0.926050932512122,NA,0.442060709964746,-Inf,0.194906404560972,NA,0.0296887976923174,0.06624952149707,0.05091716005499,NA,NA,0.0305075594760985,TRUE
"1170","20190823_sample_3","GABAergic","Pvalb_on",126.617163021467,0.589904815380685,NA,0.318403458612712,0.0206876867634432,0.0132663136126994,NA,-Inf,0.140743616516909,0.0565870463070836,NA,NA,-0.0173742271910291,TRUE
"1171","20190823_sample_5","Glutamatergic","L5.PT_on",41.0826149658843,0.18950943634146,NA,0.305232775218989,-Inf,0.0184537617547532,NA,-0.0167580190267472,0,-0.0297452197602814,NA,NA,-0.0186941780905127,FALSE
"1172","20190823_sample_6","Glutamatergic","L5.IT_on",167.995570170185,0.774944482897496,NA,0.417864218610395,-Inf,0.037949769922084,NA,0.182127294465694,0.13424296949915,0.121443256169892,NA,NA,0.00367064179248385,TRUE
"1173","20190823_sample_7","Glutamatergic","L5.IT_on",132.577177237737,0.61156345940806,NA,0.365615267225995,-Inf,-0.00151230544547727,NA,0.0624355486563705,0.0163205831900079,0.0373799077132844,NA,NA,-0.0224425106631309,TRUE
"1174","20190827_sample_1","GABAergic","Sst_on",176.802603398752,0.823716979814832,NA,0.353372503478568,0.00315908603881995,0.0385211186740589,NA,-Inf,0.126289341392854,0.190105327789815,NA,NA,-0.0155362869855343,TRUE
"1175","20190827_sample_2","Glutamatergic","L5.PT_on",46.4412905630863,0.214228398189575,NA,0.222050986784311,-Inf,0.00386480684280291,NA,0.0276291023078148,0.0488108407792797,-0.01851720370121,NA,NA,0.00224170699925178,FALSE
"1176","20190827_sample_3","GABAergic","Sst_on",134.897463012891,0.62848243567462,NA,0.240013771882905,0.00964274753837733,-0.0284862995559451,NA,-Inf,0.33736455019599,-0.0263223581389082,NA,NA,-0.0288582767598218,TRUE
