"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1861","MPV17L",8.19239864598685e-12,-4.30469355747101,0.129,0.457,2.77574850923327e-07
"1862","TMEM237",8.50162694785125e-12,-4.83539107524918,0.029,0.4,2.88052124247096e-07
"1863","GFRA2",8.75000574668921e-12,-4.47827012405675,0.243,0.729,2.96467694709324e-07
"1864","DHRS3",9.20192271537654e-12,5.11567537620617,0.471,0.243,3.11779545442388e-07
"1865","CX3CL1",9.24517568403261e-12,-4.56420394055436,0,0.443,3.13245042526393e-07
"1866","MIS18BP1",9.96396033026393e-12,3.28428841369076,0.643,0.629,3.37598903910002e-07
"1867","C18orf61",1.06445909659964e-11,-3.99569986256637,0.143,0.443,3.60660031109891e-07
"1868","ADCY7",1.0934257195125e-11,4.23302587913868,0.571,0.4,3.70474502285225e-07
"1869","SLC29A4",1.09895142296089e-11,-4.0500406824996,0.157,0.471,3.72346721127608e-07
"1870","FBXL2",1.12619203472009e-11,-4.16094532610955,0.386,0.943,3.8157638520386e-07
"1871","CRLF1",1.13266717066248e-11,-4.30651744524982,0.114,0.457,3.83770290763862e-07
"1872","LCP1",1.19234559722917e-11,5.52767806452924,0.357,0.129,4.03990535253186e-07
"1873","PCDH1",1.23423541569565e-11,-4.0782590139205,0.043,0.486,4.18183643546001e-07
"1874","EVL",1.27867915909484e-11,1.63918399958532,0.786,0.971,4.33242072684512e-07
"1875","KCTD12",1.31730205494934e-11,5.41565215314352,0.514,0.129,4.46328282257935e-07
"1876","RNASEH2B-AS1",1.32371868954474e-11,5.65270284051176,0.429,0.157,4.48502366391548e-07
"1877","MN1",1.45912264786163e-11,-4.25833047261242,0.143,0.4,4.94379935548478e-07
"1878","SPI1",1.47661722871347e-11,4.24786194086712,0.614,0.386,5.00307449432696e-07
"1879","CCDC110",1.48224815311677e-11,-4.57399138290015,0.086,0.286,5.02215319239023e-07
"1880","LANCL1",1.52620135530983e-11,-4.65338668944269,0.186,0.743,5.17107543206077e-07
"1881","B4GALT1",1.54065081958023e-11,4.54466979477312,0.471,0.314,5.22003310690175e-07
"1882","SEMA3A",1.55075752795208e-11,-3.89295361217425,0.629,0.857,5.25427665620723e-07
"1883","GNB3",1.6371749128975e-11,-4.33014860169233,0,0.457,5.5470760398793e-07
"1884","RHOBTB3",1.65952934257012e-11,-4.93635750454919,0.086,0.429,5.62281731849609e-07
"1885","DNAH6",1.66137998745252e-11,-4.51685159387692,0.386,0.943,5.62908767348664e-07
"1886","METTL7A",1.68319787238182e-11,5.25411271065979,0.371,0.157,5.70301103120409e-07
"1887","DCT",1.77149532679218e-11,-4.16172318832952,0.186,0.5,6.00218046623726e-07
"1888","PTPN21",1.77834199792367e-11,-4.98309725009523,0.157,0.529,6.02537835736499e-07
"1889","ITSN1",1.79956482667647e-11,-3.26282489718474,0.686,1,6.09728554574521e-07
"1890","KNG1",1.82647003281593e-11,1.02411245611681,0.729,0.629,6.18844576518695e-07
"1891","PRKAR1B",1.92589261390403e-11,-4.24683613352855,0.357,0.986,6.52530935442962e-07
"1892","DPF1",2.01709886912189e-11,-3.46876948321663,0.086,0.643,6.8343343883588e-07
"1893","FAM131B",2.05313135436397e-11,-3.30002340155928,0.029,0.557,6.95641965485601e-07
"1894","OPN3",2.06270388980439e-11,-4.7155466105313,0.057,0.757,6.98885331943524e-07
"1895","LIMS1",2.07315385632873e-11,3.13711992062944,0.657,0.686,7.02425989601299e-07
"1896","TCP11L1",2.22043754853481e-11,-4.39231742277876,0.229,0.529,7.52328650194564e-07
"1897","FKBP5",2.28040554876342e-11,3.79938156783473,0.657,0.6,7.72647008032023e-07
"1898","GSTA9P",2.36625152293351e-11,1.03355255971103,0.5,0.2,8.01733341000331e-07
"1899","TTC23",2.41303360708911e-11,-4.04561933815047,0.257,0.514,8.17584046753931e-07
