"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"184","Dgkg",0,-6.96730681563437,0.208,0.913,0
"185","Diras1",0,-6.66275127171304,0.006,0.911,0
"186","Disp2",0,-7.89846210164523,0.028,0.98,0
"187","Dleu7",0,-7.08805737894869,0.022,0.852,0
"188","Dlg2",0,-8.29030339887918,0.798,1,0
"189","Dlgap1",0,-6.9737281687661,0.697,1,0
"190","Dlgap2",0,-6.90114511144875,0.421,0.98,0
"191","Dlx1",0,-7.18183349217898,0,0.941,0
"192","Dlx1as",0,-7.2666770635688,0,0.917,0
"193","Dlx5",0,-6.67457481607796,0.006,0.906,0
"194","Dlx6os1",0,-9.11843585778094,0.056,0.98,0
"195","Dmd",0,-6.04725352535775,0.781,0.973,0
"196","Dmtn",0,-5.44541890709778,0.135,0.981,0
"197","Dnaja1",0,-2.58218597540467,0.618,1,0
"198","Dnajc6",0,-7.82388243201962,0.124,0.984,0
"199","Dner",0,-8.735284640998,0.562,0.996,0
"200","Dnm1",0,-7.95701891881345,0.174,0.999,0
"201","Dnm3",0,-6.395059901751,0.646,0.996,0
"202","Dock3",0,-7.42016554442167,0.275,0.993,0
"203","Dos",0,-5.98293576566258,0.039,0.979,0
"204","Dpp10",0,-6.68784673777919,0.663,0.958,0
"205","Dpp6",0,-7.89266834851319,0.236,0.982,0
"206","Dtna",0,-7.02049876460555,0.303,0.974,0
"207","Dusp26",0,-7.60734899420897,0.09,0.923,0
"208","Dync1i1",0,-7.10145543587011,0.208,0.987,0
"209","Dynlrb1",0,-1.8471392159136,0.702,1,0
"210","Dzank1",0,-5.45413498186877,0.225,0.979,0
"211","Edil3",0,-6.99936099558643,0.59,0.965,0
"212","Eef1a2",0,-5.35009201905144,0.039,0.996,0
"213","Ehd3",0,-6.88949741215923,0.039,0.83,0
"214","Elavl2",0,-8.84670688334808,0.045,0.936,0
"215","Elavl3",0,-6.81170752152036,0.101,0.996,0
"216","Elavl4",0,-4.35674929866974,0.247,0.987,0
"217","Elmod1",0,-9.80036592064282,0.135,0.98,0
"218","Elovl4",0,-8.07646023401898,0.056,0.939,0
"219","Elovl6",0,-6.51499859220214,0.169,0.867,0
"220","Enah",0,-6.96235095782587,0.163,0.955,0
"221","Eno2",0,-7.5473357388883,0.202,0.998,0
"222","Enpp5",0,-7.38770407051235,0.157,0.994,0
"223","Epb4.1l1",0,-6.10036923060525,0.09,0.969,0
"224","Epdr1",0,-8.29114238925093,0.135,0.985,0
"225","Epha5",0,-5.80724802416015,0.18,0.943,0
"226","Epha6",0,-6.80671138543067,0.596,0.949,0
"227","Epsti1",0,7.513827373455,0.781,0.217,0
"228","Erbb4",0,-10.5990147713996,0.287,0.934,0
"229","Erc2",0,-7.12675852809089,0.506,0.983,0
"230","Extl2",0,-5.39869331860377,0.079,0.93,0
"231","Fabp3",0,-7.49604336615772,0.022,0.997,0
"232","Faim2",0,-8.10491229582535,0.202,0.998,0
"233","Fam13c",0,-6.74176402825399,0.157,0.864,0
"234","Fam155a",0,-8.54904748032294,0.242,0.983,0
"235","Fam171b",0,-8.396687114571,0.242,0.993,0
"236","Fam19a5",0,-5.54600725471935,0.101,0.941,0
"237","Fam216a",0,-4.34770192055537,0.073,0.967,0
"238","Fam49a",0,-4.26090752538629,0.247,0.986,0
"239","Fam69b",0,-6.31893407302693,0.382,0.962,0
"240","Fam92a",0,-4.38517846407697,0.169,0.976,0
"241","Fbxl16",0,-5.0691379616039,0.169,0.987,0
"242","Fbxo44",0,-6.77983318137202,0.028,0.952,0
"243","Fcgr4",0,3.62693555639483,0.944,0.56,0
"244","Fermt3",0,4.59732333008007,0.983,0.978,0
"245","Fez1",0,-8.59362087668717,0.191,0.999,0
"246","Fgd2",0,8.79938390279108,0.781,0.172,0
"247","Fgf12",0,-8.84078716007594,0.421,0.998,0
"248","Fgf14",0,-7.41292230288017,0.343,0.995,0
"249","Fgf9",0,-7.51653037617845,0.051,0.873,0
