"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"287","Gm5905",3.69098826521777e-63,1.76761091161103,0.955,0.396,1.48425711109202e-58
"288","Nfatc1",9.30585086803103e-63,3.94679538282826,0.464,0.05,3.74216180956132e-58
"289","Atf3",1.34136602993436e-62,4.61017483710103,0.885,0.16,5.39403521617505e-58
"290","Gm10073",1.76540560670688e-62,1.42890338480963,0.797,0.331,7.09922556625037e-58
"291","Gm20746",1.72861017072776e-61,1.35661514617,0.703,0.162,6.95126007954755e-57
"292","Rtn1",1.16065641979831e-60,-0.806027572357543,1,0.995,4.66734766093494e-56
"293","Hck",1.48733790335102e-60,4.36440736016599,0.703,0.065,5.98103191074547e-56
"294","Fam46c",2.03041046766161e-60,4.39313365761857,0.453,0.014,8.16488961360763e-56
"295","Bco2",2.14034862121234e-60,4.22056585402804,0.486,0.027,8.60698391048118e-56
"296","Gm8814",2.62380783183775e-60,1.33061251563841,0.687,0.158,1.05511184341692e-55
"297","Tagln2",4.51422147361553e-60,3.99422185812368,0.57,0.106,1.81530388118501e-55
"298","Ms4a6b",7.17389619227262e-60,4.35249481118321,0.372,0.005,2.88483887579859e-55
"299","Grn",1.10627518369914e-59,3.10088237637884,0.989,0.48,4.44866439620935e-55
"300","H2-DMb1",2.44701013264626e-59,3.55445932839875,0.412,0.016,9.84016184641043e-55
"301","Rpl13",3.9401404892493e-59,1.72891868978537,1,0.944,1.58444869494182e-54
"302","Hhex",5.95521183267121e-59,4.15608307628868,0.369,0.009,2.39476933427207e-54
"303","H2-T23",7.15218703843215e-59,3.56552912580629,0.669,0.164,2.87610897376472e-54
"304","Gm10275",8.98107335781187e-59,1.47415769773993,0.91,0.502,3.61155902937689e-54
"305","Ptafr",2.74234347165661e-58,3.69824411334311,0.401,0.178,1.10277858025727e-53
"306","Myo1f",2.85513945190843e-58,4.3313792426278,0.606,0.137,1.14813722779594e-53
"307","Rplp0",9.58465399723439e-58,2.15400100317362,0.998,0.773,3.85427691190787e-53
"308","Tnfaip3",1.27067140809653e-57,5.13499061559238,0.624,0.041,5.10975093337857e-53
"309","Cryba4",2.18144867746865e-57,3.90579723061425,0.523,0.007,8.77225956670467e-53
"310","Il1b",3.8514471290916e-57,5.91724868160148,0.306,0.011,1.54878243402161e-52
"311","Sft2d2",1.32838014834056e-56,4.21806102002606,0.658,0.061,5.34181509052191e-52
"312","Rhbdf2",1.87602480117746e-56,3.2750386454741,0.419,0.149,7.54405853297492e-52
"313","Atp1b1",2.34656660545929e-56,-0.803608443930354,0.998,0.993,9.43624829053343e-52
"314","Rpl23a",3.011263341079e-56,1.81792574854225,1,0.847,1.2109193273481e-51
"315","Tnfaip8",1.62903345526824e-55,3.72963886545463,0.651,0.261,6.55083223367017e-51
"316","Tmem63a",2.23245817072759e-55,4.00637686940799,0.489,0.036,8.97738404194688e-51
"317","H2-K1",4.10907124064172e-55,3.92495298370735,0.788,0.149,1.65238081799926e-50
"318","Ttc3",1.14007707653374e-54,-0.593317430299257,1,0.993,4.58459194786514e-50
"319","Il21r",1.20497560376083e-54,3.89393701775796,0.5,0.02,4.84556839540343e-50
"320","Gnai2",1.68733283190668e-54,2.19178351869495,1,0.716,6.78527151694633e-50
"321","Was",1.94811304857019e-54,2.93983693507511,0.428,0.027,7.83394700221532e-50
