"","sample_id","major_type","contam_type","marker_sum","marker_sum_norm","contam_sum","quality_score","GABAergic","Astro","Endo","Glutamatergic","Microglia","Oligo","Peri","SMC","VLMC","QC_pass"
"123","20200410_sample_21","Glutamatergic","L5.IT_on",171.378788962319,0.790550886892214,NA,0.398396658175447,0.174372532860716,0.420358175672103,NA,-Inf,0.266940160479647,0.123115101408183,NA,NA,0.0591494899442377,TRUE
"124","20200410_sample_22","GABAergic","Sst_on",200.486214957405,0.934058075529371,NA,0.463392533291159,-Inf,0.061685881345793,NA,0.208059570485042,0.105071691837962,0.00511585353395319,NA,NA,0.0210638841952958,TRUE
"125","20200410_sample_23","Glutamatergic","L2.3.IT_on",0,0,NA,NA,-0.129733777808224,-0.0473722942658569,NA,-Inf,0,-0.0294989281373957,NA,NA,-0.0266960806259774,FALSE
"126","20200410_sample_24","Glutamatergic","L5.IT_on",222.200899448635,1.02498750977864,NA,0.562679281328599,0.103225389603996,0.0961949625854227,NA,Inf,0.039617186217284,0.0438776853892857,NA,NA,0.0081638625432874,TRUE
"127","20200410_sample_26","Glutamatergic","L5.IT_on",191.808697666341,0.884791735149362,NA,0.422943106736546,0.108844530624309,0.155523782992151,NA,-Inf,0.230899473774618,0.0453636097431669,NA,NA,0.0359031633679486,TRUE
"128","20200410_sample_27","GABAergic","Sst_on",210.395647225231,0.980225764592886,NA,0.493516768759505,-Inf,0.0107412048084401,NA,0.0548575421594252,0.0146084395226229,0.00419738608306545,NA,NA,0.000720118269089705,TRUE
"129","20200410_sample_28","GABAergic","Pvalb_on",194.685962440176,0.907034907353052,NA,0.463713305921005,-Inf,0.116498040709784,NA,0.063854413915104,0.0449753850948128,-0.0068569056002424,NA,NA,0.00751632550500711,TRUE
"130","20200410_sample_29","GABAergic","Sst_on",176.688635235922,0.823186006237085,NA,0.387358495029053,-Inf,0.0606547963961017,NA,0.0379102548703951,0.113757163034128,-0.0108342733053138,NA,NA,-0.0205094020273705,TRUE
"131","20200410_sample_30","GABAergic","Sst_on",225.512846580834,1.05065625349452,NA,0.562587224573542,Inf,0.0619183980942212,NA,0.146086920646186,0.0529799718275381,0.115979764283586,NA,NA,0.00562080312090591,TRUE
"137","20200413_sample_1","Glutamatergic","L5.IT_on",237.723357135583,1.09659084392206,NA,0.496863378418541,0.0803277066070888,0.379005230297869,NA,Inf,0.265988029247548,0.112539771013194,NA,NA,0.0492115911628938,TRUE
"148","20200413_sample_2","Glutamatergic","L5.IT_on",98.4994293341722,0.454366679155539,NA,0.218042382246408,0.0737789095196706,0.621115354045335,NA,-Inf,0.135047541870853,0.06118333482978,NA,NA,0.0750220871999285,TRUE
"153","20200413_sample_3","Glutamatergic","L5.PT_on",222.420154359418,1.02599890777733,NA,0.512696718454696,0.193445602805736,0.385472924204943,NA,Inf,0.227810947033078,0.0986582724040649,NA,NA,0.0829426418777408,TRUE
"154","20200413_sample_4","Glutamatergic","L5.PT_on",205.310933881713,0.947076017117518,NA,0.468548664250578,0.335440559743349,0.413809130372784,NA,-Inf,0.333166403922567,0.111661029377921,NA,NA,0.0356800765215803,TRUE
"155","20200413_sample_5","Glutamatergic","NP_on",193.466196186687,0.89243758755161,NA,0.416157037301247,0.053029247018137,0.345923820717384,NA,-Inf,0.131832127263549,0.0612651916823639,NA,NA,0.0498825847798645,TRUE
"156","20200413_sample_6","Glutamatergic","L5.IT_on",223.985484865612,1.03321959959949,NA,0.473487321684197,0.0729177611339935,0.157858127458167,NA,Inf,0.167555048624791,0.0522376342386641,NA,NA,0.0736334972933649,TRUE
"157","20200413_sample_7","Glutamatergic","L5.IT_on",230.702408750336,1.0642040065171,NA,0.567855638504051,0.102069079501208,0.145397192140058,NA,Inf,0.0411409457844817,0.0472983093897762,NA,NA,-0.00360421221096719,TRUE
"158","20200413_sample_8","Glutamatergic","L5.PT_on",181.661161702513,0.837982304387549,NA,0.461908589096032,0.102573724810959,0.169420898801393,NA,-Inf,0.0663690586195376,0.0985121989733437,NA,NA,-0.0137272025398702,TRUE
"159","20200413_sample_9","Glutamatergic","L5.IT_on",213.726848053343,0.985897673243549,NA,0.460872876767239,0.142117190549581,0.19000059338087,NA,-Inf,0.0995325205439177,0.0488394352587463,NA,NA,0.0245758436037707,TRUE
"138","20200413_sample_10","Glutamatergic","L5.PT_on",185.614278428535,0.856217582817674,NA,0.329161395493107,0.268210692341878,0.402350955506337,NA,-Inf,0.395377377114991,0.248521018376393,NA,NA,-0.00741663412074854,TRUE
"139","20200413_sample_11","Glutamatergic","L5.IT_on",212.023988540803,0.978042575736779,NA,0.353056464544129,0.115283952436573,0.153022360695225,NA,-Inf,0.57861496635165,0.100307207787871,NA,NA,0.00876242817221042,TRUE
"140","20200413_sample_12","Glutamatergic","L2.3.IT_on",0,0,NA,NA,-0.129733777808224,-0.0473722942658569,NA,-Inf,0,-0.0294989281373957,NA,NA,-0.0266960806259774,FALSE
"141","20200413_sample_13","Glutamatergic","L5.PT_on",175.345403771514,0.808848430446793,NA,0.43627923543432,0.279938229907434,0.057529398813264,NA,-Inf,0.0483752289981461,0.160418751224576,NA,NA,0.00332257656470213,TRUE
"142","20200413_sample_14","Glutamatergic","L5.IT_on",264.349182119008,1.21941275019373,NA,0.537456077392153,0.157999046233892,0.258366308828217,NA,Inf,0.164690165565817,0.044797408601572,NA,NA,0.0299453013366099,TRUE
"143","20200413_sample_15","Glutamatergic","L5.IT_on",226.347931900929,1.04411729942753,NA,0.551900053443978,0.181254537040001,0.162929425124304,NA,Inf,0.0404797764777668,0.0775224454303922,NA,NA,0.0103385752436345,TRUE
"144","20200413_sample_16","GABAergic","Sst_on",63.0428765627038,0.293714497879595,NA,0.189865120779484,-Inf,-0.0292286132169966,NA,0.319278592404305,0.00761927454530416,-0.0253757846732369,NA,NA,-0.0279893213643242,FALSE
"145","20200413_sample_17","Glutamatergic","L5.PT_on",228.617331704339,1.05458578294385,NA,0.53104585241326,0.330000655000071,0.369781468202005,NA,Inf,0.09867516597533,0.153121732857855,NA,NA,0.070219092405998,TRUE
"146","20200413_sample_18","GABAergic","Sst_on",67.1457113526485,0.312829457822975,NA,0.142598040199946,-Inf,0.322453482246187,NA,0.249356038968772,0.254342277527671,0.0562069832708239,NA,NA,-0.0140540995156088,FALSE
"147","20200413_sample_19","Glutamatergic","L5.PT_on",187.015013258598,0.862679013481948,NA,0.434400232283373,0.181164488188871,0.183081666809911,NA,-Inf,0.206803703726636,0.030749502295379,NA,NA,0.0585394288165052,TRUE
"149","20200413_sample_20","Glutamatergic","L5.IT_on",229.789373413914,1.05999227822013,NA,0.545513939338053,0.111096069266057,0.0992633604983695,NA,Inf,0.14113118315733,0.111013722486782,NA,NA,0.00352522912300464,TRUE
"150","20200413_sample_21","Glutamatergic","L5.IT_on",180.04154447619,0.830511194091763,NA,0.460486103759894,0.259667883604852,0.307122353462918,NA,-Inf,0.137562621229806,0.171905172450006,NA,NA,0.0310184542455482,TRUE
"151","20200413_sample_22","Glutamatergic","L5.PT_on",159.246116951069,0.734584249031477,NA,0.376094792316913,0.258870941638257,0.27475288942094,NA,-Inf,0.360106524006038,0.184105592095867,NA,NA,0.033972748070973,TRUE
"152","20200413_sample_23","Glutamatergic","L5.PT_on",183.886131988319,0.848245839585827,NA,0.510787785340075,0.178277745633326,0.0919278927737117,NA,-Inf,0.0721793397424612,0.0798922206471509,NA,NA,0.054908832324886,TRUE
"160","20200414_sample_1","Glutamatergic","L5.IT_on",158.512597552794,0.73120060736631,NA,0.364432837788629,0.051846748740315,0.57709626988715,NA,-Inf,0.0945422417534584,0.119139166627645,NA,NA,0.0101437117564275,TRUE
"171","20200414_sample_2","Glutamatergic","L5.IT_on",246.771301431818,1.13832798322179,NA,0.616981333018939,0.0992137518573957,0.117969028324828,NA,Inf,0.027978466456988,0.0224432659979246,NA,NA,0.000929911023640047,TRUE
"179","20200414_sample_3","Glutamatergic","L5.IT_on",196.458213683463,0.906239424406655,NA,0.484773875291537,0.119331256853586,0.356774548270249,NA,-Inf,0.0368382640669281,0.0612682294973195,NA,NA,0.0448350644890099,TRUE
"180","20200414_sample_4","Glutamatergic","L5.IT_on",106.56682283634,0.491580649021144,NA,0.304048982326695,0.0748015032227464,0.217280432898141,NA,-Inf,0.0452543583991002,0.226733218451647,NA,NA,-0.0156784488700592,TRUE
"181","20200414_sample_5","Glutamatergic","L5.IT_on",189.710380315714,0.875112435554797,NA,0.505332428555845,0.166374929140674,0.101170088168143,NA,-Inf,0.047499702926065,0.070914505847927,NA,NA,0.00636591482768317,TRUE
"182","20200414_sample_6","Glutamatergic","L5.IT_on",88.1845760128367,0.406785432428805,NA,0.295218095120752,0.147349831284772,0.435356297375205,NA,-Inf,0.0259504725878767,0.137257256417341,NA,NA,-0.018340971851716,TRUE
"183","20200414_sample_7","GABAergic","Sst_on",163.981961043605,0.763986067503264,NA,0.353316254564116,-Inf,0.298538793617695,NA,0.0552048970501899,0.0923418513512185,0.0272638296825651,NA,NA,-0.0279893213643242,TRUE
"184","20200414_sample_8","GABAergic","Sst_on",210.174295101117,0.979194492995941,NA,0.450614640073997,-Inf,0.122439314422342,NA,0.267207274990236,0.145223774180112,0.0610528005244703,NA,NA,-0.018588317579999,TRUE
"185","20200414_sample_9","GABAergic","Sst_on",192.135113606294,0.895150594243305,NA,0.412404930612843,-Inf,0.0291653036704582,NA,0.160488609597597,0.232290692322092,0.104122686970657,NA,NA,-0.0254360660203786,TRUE
"161","20200414_sample_10","Glutamatergic","L5.IT_on",240.772839385292,1.11065775915507,NA,0.554572318392312,0.14419169730374,0.149234121829713,NA,Inf,0.0986499095678117,0.0426308406633661,NA,NA,0.0556945851851912,TRUE
"162","20200414_sample_11","Glutamatergic","L5.IT_on",256.105705522715,1.18138652901588,NA,0.594722638788225,0.146014399891453,0.0721593637425989,NA,Inf,0.0772237080171299,0.0409086474823366,NA,NA,0.0468810559771531,TRUE
"163","20200414_sample_12","Glutamatergic","L5.IT_on",248.632539596255,1.14691366345984,NA,0.56518295950161,0.0150152572984922,0.157100204980309,NA,Inf,0.0708185723720377,0.0258700007373906,NA,NA,-0.000139839655525606,TRUE
"164","20200414_sample_13","Glutamatergic","L5.IT_on",206.066264982501,0.95056027368883,NA,0.453416640100237,0.175290263527562,0.45751130334977,NA,-Inf,0.157193444886161,0.216204501886482,NA,NA,0.0652605904489047,TRUE
"165","20200414_sample_14","Glutamatergic","L5.IT_on",195.002193939924,0.899522970716229,NA,0.309038442418277,0.144963906388954,0.473667142803811,NA,-Inf,0.504911024714089,0.537590214715366,NA,NA,0.101088946875164,TRUE
"166","20200414_sample_15","Glutamatergic","L5.IT_on",240.562104286172,1.10968566207983,NA,0.574795531462692,0.143343673494644,0.0957544966090741,NA,Inf,0.0936027809074477,0.059304077575368,NA,NA,0.0366916390193662,TRUE
"167","20200414_sample_16","Glutamatergic","L5.IT_on",248.220351707121,1.1450122875469,NA,0.453487330301243,0.0946587656934007,0.279081721012062,NA,Inf,0.256812018615642,0.137381289644887,NA,NA,0.0624972771074018,TRUE
