gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,color
Uap1,0.344169642,0.163071582,0.716,0.489,1,NO
Gm9234,0.659471307,0.16289141,0.342,0.236,1,NO
Bzw1,0.087607718,0.162765132,0.944,0.829,1,NO
Spag9,0.007246242,0.162737393,0.991,0.957,1,NO
2210015D19Rik,0.090644361,0.162710768,0.655,0.381,1,NO
Gm4217,0.49190632,0.162587844,0.437,0.327,1,NO
Tpt1-ps4,0.972110952,0.162474697,0.14,0.02,1,NO
Gm17541,0.805467304,0.162329454,0.218,0.104,1,NO
Gm5611,0.669558352,0.162271429,0.273,0.169,1,NO
Gm5045,0.956417119,0.162271429,0.122,0.034,1,NO
Mnt,0.435929366,0.162072439,0.682,0.464,1,NO
Guk1,0.141459838,0.161919109,0.896,0.718,1,NO
Pmm2,0.074651093,0.161817669,0.698,0.489,1,NO
Gm5735,0.972475049,0.161799111,0.124,0.025,1,NO
2810428I15Rik,0.019049992,0.161618667,0.887,0.631,1,NO
Bmp1,0.505939668,0.16161567,0.331,0.212,1,NO
Scoc,0.00777635,0.161595148,0.973,0.849,1,NO
H3f3a-ps2,0.90319136,0.161569279,0.178,0.074,1,NO
Gm7476,0.974397935,0.161463423,0.113,0.025,1,NO
Man2a1,0.212331204,0.161410267,0.617,0.511,1,NO
Fam173b,0.785047312,0.161385512,0.3,0.171,1,NO
Gm10093,0.663492829,0.161350266,0.304,0.16,1,NO
Gm7504,0.971192408,0.161129126,0.137,0.029,1,NO
Gm9703,0.971903496,0.161129126,0.11,0.018,1,NO
AA986860,0.594910678,0.160826944,0.133,0.104,1,NO
Gm17352,0.984242158,0.160633399,0.124,0.014,1,NO
Gm1943,0.734340338,0.160464672,0.268,0.158,1,NO
Gm6560,0.466222835,0.160315925,0.66,0.55,1,NO
Gm12816,0.949721255,0.160308104,0.18,0.086,1,NO
Mtdh,0.011914697,0.159965215,0.984,0.921,1,NO
Gm2189,0.987841898,0.159960615,0.119,0.018,1,NO
Gm32139,0.83550624,0.159890408,0.236,0.133,1,NO
Dpy19l4,0.380577646,0.159747484,0.741,0.59,1,NO
Iqgap1,0.146852014,0.159721107,0.831,0.685,1,NO
Rasl11b,0.655465439,0.159676711,0.367,0.225,1,NO
Rnu1a1,0.871262493,0.159635231,0.113,0.059,1,NO
Gm6443,0.931695473,0.159513236,0.178,0.074,1,NO
Vmn2r-ps17,0.955903987,0.159513236,0.115,0.065,1,NO
Agrp,0.647251958,0.159399822,0.122,0.099,1,NO
Pphln1,0.228418854,0.159233854,0.759,0.581,1,NO
Gm14494,0.650684485,0.159198595,0.403,0.32,1,NO
Gm36402,0.862995279,0.159198595,0.146,0.095,1,NO
Gm4939,0.944149217,0.159066486,0.115,0.063,1,NO
Gm3160,0.251630011,0.158946294,0.261,0.176,1,NO
Speg,0.078330411,0.158835127,0.845,0.705,1,NO
Zfp341,0.709908022,0.158807037,0.286,0.257,1,NO
Gm34798,0.584704451,0.158708948,0.27,0.187,1,NO
Zfp771,0.024022188,0.158705536,0.77,0.55,1,NO
Rap1gds1,0.004433561,0.158630893,0.982,0.919,1,NO
Rabac1,0.037492885,0.158322917,0.984,0.91,1,NO
Nsun2,0.2328735,0.158257826,0.721,0.514,1,NO
Gm33666,0.967562684,0.158181668,0.142,0.045,1,NO
Gm17786,0.982718964,0.157975693,0.124,0.029,1,NO
Arl8a,0.013960068,0.157751195,0.959,0.827,1,NO
Rnf180,0.192353519,0.157740127,0.777,0.579,1,NO
Gm13202,0.580021105,0.157618885,0.385,0.259,1,NO
2810410L24Rik,0.915698272,0.157586135,0.178,0.095,1,NO
Gm15610,0.935439369,0.157328965,0.441,0.306,1,NO
Gm11189,0.865798474,0.157254791,0.196,0.115,1,NO
Gm6046,0.994970076,0.157100961,0.128,0.018,1,NO
Rps24-ps2,0.998808996,0.157100961,0.115,0.018,1,NO
Sgce,0.31050783,0.156960972,0.86,0.682,1,NO
Wdr45b,0.034651689,0.156801082,0.917,0.768,1,NO
Gm8894,0.772697447,0.156605859,0.239,0.158,1,NO
Daxx,0.492142798,0.156548017,0.507,0.378,1,NO
Klf3,0.485145989,0.156524295,0.68,0.414,1,NO
H2afz,0.009292956,0.156412966,0.991,0.89,1,NO
Gm4602,0.681525269,0.156182327,0.336,0.205,1,NO
Cox5b,0.000560591,0.156070803,0.998,0.973,1,NO
Gm4754,0.790256601,0.155904531,0.243,0.126,1,NO
Senp2,0.033524275,0.155834878,0.93,0.867,1,NO
Tnfsf13b,0.361483536,0.155608434,0.318,0.2,1,NO
Rnu7,0.809831035,0.155330521,0.108,0.052,1,NO
Gtf3c4,0.776250185,0.155173741,0.448,0.25,1,NO
Sphk2,0.263839537,0.155070394,0.687,0.511,1,NO
Gm9790,0.767743778,0.154935827,0.412,0.293,1,NO
Prps1l3,0.310833367,0.154891011,0.336,0.207,1,NO
Pin4,0.170712421,0.15471203,0.739,0.439,1,NO
Gm3252,0.70267538,0.15459687,0.126,0.083,1,NO
Hmgb1-ps7,0.908905624,0.154577037,0.191,0.104,1,NO
Zbtb10,0.34171941,0.154575316,0.372,0.275,1,NO
Palm,0.144602245,0.154291147,0.872,0.736,1,NO
Gm5385,0.562999639,0.154231194,0.367,0.282,1,NO
Gm11469,0.636859122,0.154033629,0.309,0.205,1,NO
Gm20219,0.50160048,0.154020849,0.2,0.144,1,NO
B4galt4,0.721768634,0.153931335,0.455,0.268,1,NO
Gm5454,0.817033095,0.153912683,0.189,0.072,1,NO
Mpc1,0.002201308,0.153847591,0.995,0.914,1,NO
Sod2,0.090111327,0.153845251,0.937,0.788,1,NO
Hist2h2aa2,0.979172788,0.153772186,0.119,0.045,1,NO
Poldip3,0.036455176,0.153754269,0.874,0.766,1,NO
Fcf1,0.173931257,0.153596807,0.745,0.523,1,NO
Gm16005,0.992393028,0.15359109,0.126,0.023,1,NO
Gas6,0.0824434,0.153492427,0.827,0.703,1,NO
Atg3,0.039558757,0.153492014,0.876,0.691,1,NO
Tmem55b,0.127890271,0.153427606,0.845,0.689,1,NO
Zmat2,0.072297968,0.153396126,0.926,0.707,1,NO
Gm9333,0.807772334,0.153328491,0.245,0.171,1,NO
Hs1bp3,0.231701312,0.153250658,0.403,0.273,1,NO
Gm5566,0.926169603,0.153136397,0.221,0.115,1,NO
Otx2os1,0.73776075,0.153027735,0.099,0.101,1,NO
Sar1a,0.064558103,0.152979293,0.937,0.784,1,NO
Otud5,0.271174941,0.152933756,0.8,0.608,1,NO
Gm9169,0.980652647,0.152924649,0.2,0.198,1,NO
Arvcf,0.429422228,0.152757286,0.604,0.482,1,NO
Gm15785,0.923247962,0.152713606,0.135,0.101,1,NO
Phc2,0.011223915,0.152470475,0.923,0.815,1,NO
Gm2926,0.99621185,0.152318058,0.128,0.027,1,NO
Rsph1,0.57568529,0.15218757,0.113,0.097,1,NO
1810009A15Rik,0.050624487,0.152137918,0.592,0.356,1,NO
Tmem233,0.84739545,0.152003093,0.153,0.113,1,NO
Tmem47,0.358575237,0.151795646,0.709,0.563,1,NO
Rit1,0.34618922,0.151594803,0.712,0.498,1,NO
Gm12338,0.243313762,0.151487753,0.811,0.676,1,NO
Arl6ip4,0.153285939,0.151481976,0.788,0.59,1,NO
Gm30697,0.117418539,0.151286048,0.64,0.489,1,NO
Igbp1,0.131752832,0.151194918,0.635,0.432,1,NO
Gm5278,0.584984725,0.151079473,0.275,0.054,1,NO
Gm30276,0.993031348,0.151065974,0.122,0.029,1,NO
Xpa,0.148943054,0.151058082,0.667,0.502,1,NO
Gm2423,0.760294704,0.150982439,0.412,0.324,1,NO
Gm15423,0.753783621,0.150875547,0.124,0.097,1,NO
Cntrl,0.165122975,0.150742024,0.716,0.534,1,NO
Smndc1,0.222970237,0.150706477,0.802,0.534,1,NO
Akr1c20,0.906008065,0.150585211,0.113,0.11,1,NO
Tcea1-ps1,0.523769265,0.150372846,0.624,0.473,1,NO
Fam210a,0.221510942,0.150233667,0.696,0.498,1,NO
Smad4,0.374356574,0.150175422,0.815,0.624,1,NO
Gm11560,0.972038777,0.149989963,0.212,0.108,1,NO
Tmem167b,0.147208953,0.149774162,0.529,0.27,1,NO
Arpc5l,0.081414482,0.149612546,0.946,0.847,1,NO
Gm6147,0.661423583,0.149503588,0.131,0.104,1,NO
Ppp1r1a,0.102703647,0.149484333,0.827,0.669,1,NO
Vps29,0.046165025,0.149437117,0.957,0.804,1,NO
Mrps28,0.32554318,0.149247284,0.725,0.511,1,NO
Rpl19-ps4,0.981037019,0.148923701,0.142,0.054,1,NO
Gm36629,0.902290502,0.148658682,0.209,0.189,1,NO
Aoc3,0.409221663,0.148430169,0.505,0.491,1,NO
Atf2,0.000320799,0.148301217,0.998,0.993,1,NO
Gm11598,0.778121885,0.148280007,0.297,0.189,1,NO
Cast,0.164086891,0.148226657,0.534,0.354,1,NO
Ppp1r7,0.100925058,0.148199671,0.793,0.586,1,NO
Gm4835,0.975396816,0.148098639,0.264,0.214,1,NO
Gm715,0.844888037,0.147740632,0.115,0.065,1,NO
Gm6794,0.977997781,0.147726628,0.16,0.038,1,NO
Rpl30-ps1,0.995462546,0.147726628,0.153,0.036,1,NO
Gm9058,0.97389518,0.147557188,0.117,0.023,1,NO
Gm5517,0.996523577,0.147515702,0.158,0.079,1,NO
Gm8776,0.859373246,0.147341716,0.243,0.11,1,NO
Gm14026,0.997584645,0.147241378,0.374,0.268,1,NO
Gm10012,0.917702368,0.147091126,0.275,0.153,1,NO
Chpt1,0.050949185,0.14702392,0.842,0.709,1,NO
Wdr31,0.39042649,0.14696056,0.236,0.185,1,NO
4930554G24Rik,0.971927319,0.146638149,0.106,0.029,1,NO
Dnah5,0.589637187,0.146531424,0.306,0.236,1,NO
Kif13a,0.140114613,0.146523014,0.718,0.599,1,NO
Gm8273,0.55779593,0.146389487,0.113,0.063,1,NO
Usp12,0.250118497,0.146239321,0.718,0.554,1,NO
Gm7887,0.872790626,0.146193875,0.394,0.27,1,NO
Zak,0.13746685,0.146163589,0.45,0.394,1,NO
Engase,0.266165287,0.146110134,0.349,0.207,1,NO
Mmadhc,0.325516437,0.14572965,0.718,0.507,1,NO
Gm31582,0.712071996,0.145593424,0.126,0.097,1,NO
Axin2,0.107291669,0.145141901,0.484,0.356,1,NO
Gm32061,0.381135061,0.145050333,0.122,0.142,1,NO
Hdgf,0.023320512,0.1450006,0.935,0.824,1,NO
Gm13611,0.932163102,0.144948336,0.122,0.056,1,NO
Gm5425,0.95109289,0.144800407,0.194,0.095,1,NO
Kif21b,0.227915996,0.144705011,0.89,0.734,1,NO
Gm11401,0.937685283,0.144658243,0.209,0.119,1,NO
Ncl,0.020293724,0.144581803,1,0.948,1,NO
2700094K13Rik,0.170855551,0.144475484,0.583,0.342,1,NO
Gm13226,0.998067551,0.144389909,0.196,0.099,1,NO
Extl3,0.031838873,0.144337472,0.842,0.721,1,NO
Bpnt1,0.072903591,0.144306127,0.694,0.518,1,NO
Map2k1,0.011438745,0.144177385,0.93,0.782,1,NO
Ranbp1,0.213329003,0.144157773,0.935,0.752,1,NO
Smarce1,0.09073894,0.144129681,0.818,0.57,1,NO
Gm15210,0.921969154,0.143977858,0.32,0.223,1,NO
Lyar,0.296806769,0.143922356,0.518,0.306,1,NO
Nme3,0.219569297,0.143829921,0.678,0.48,1,NO
Utp14a,0.352310001,0.143733994,0.61,0.421,1,NO
Gm36587,0.911548699,0.143706952,0.351,0.194,1,NO
Map1lc3b,0.001512689,0.143519547,0.993,0.894,1,NO
Gm8864,0.872710185,0.143395519,0.315,0.243,1,NO
Tyr,0.899850606,0.143110017,0.218,0.171,1,NO
Gm33148,0.943971562,0.143110017,0.144,0.065,1,NO
Ptplb,0.040865903,0.143101939,0.809,0.588,1,NO
Zcchc2,0.420747409,0.142896506,0.601,0.419,1,NO
Numb,0.008009364,0.142738043,0.955,0.928,1,NO
Stx1a,0.358276719,0.142523896,0.786,0.628,1,NO
Kbtbd11,0.065525374,0.14246,0.559,0.369,1,NO
Zfp951,0.429996136,0.142128277,0.214,0.135,1,NO
Agps,0.110558855,0.142112002,0.919,0.847,1,NO
Rpl38-ps1,0.835603581,0.142019005,0.227,0.119,1,NO
Gm2676,0.968794834,0.142019005,0.101,0.038,1,NO
Tsfm,0.17085508,0.14195643,0.579,0.426,1,NO
Nudt2,0.597482167,0.14176625,0.486,0.261,1,NO
Cdv3,0.126139712,0.141743946,0.779,0.597,1,NO
Ormdl3,0.443268088,0.141648981,0.426,0.243,1,NO
Glrx5,0.110855095,0.141616953,0.887,0.646,1,NO
Pde6d,0.078885025,0.141417105,0.773,0.579,1,NO
Gm4600,0.955170748,0.141355849,0.162,0.059,1,NO
Kctd13,0.038670905,0.141265696,0.822,0.615,1,NO
1810043G02Rik,0.457563053,0.14094689,0.613,0.414,1,NO
Foxo3,0.335736559,0.1408119,0.698,0.466,1,NO
Bcap31,0.010677836,0.140699509,0.892,0.714,1,NO
Gm8529,0.974755051,0.140512274,0.101,0.079,1,NO
Arhgap1,0.452705825,0.140417074,0.759,0.577,1,NO
Gm3531,0.470395244,0.140151944,0.597,0.354,1,NO
Wash,0.471506422,0.139903616,0.622,0.466,1,NO
Ssu72,0.093610815,0.139759442,0.932,0.809,1,NO
Dctn3,0.010191952,0.139611759,0.95,0.842,1,NO
Rars,0.213638322,0.13954953,0.743,0.545,1,NO
Wdr46,0.456808117,0.139539128,0.387,0.239,1,NO
Pycrl,0.107250461,0.139436557,0.495,0.385,1,NO
Hsd17b14,0.891466842,0.138898106,0.286,0.178,1,NO
Crls1,0.247306933,0.138664164,0.653,0.464,1,NO
Usf1,0.182505906,0.138663193,0.568,0.367,1,NO
Fnip1,0.073671608,0.138375438,0.955,0.887,1,NO
Rpl17-ps9,0.947320405,0.138364235,0.104,0.025,1,NO
Palld,0.095529837,0.138275461,0.592,0.482,1,NO
Gm17383,0.777462175,0.137836364,0.534,0.39,1,NO
Gm8662,0.929678125,0.137789234,0.122,0.034,1,NO
Commd3,0.047341747,0.137699221,0.856,0.68,1,NO
Gm10705,0.881280647,0.137503524,0.3,0.178,1,NO
Rdx,0.140675032,0.137410276,0.892,0.723,1,NO
Ttc1,0.138498085,0.136962389,0.854,0.669,1,NO
Heca,0.030371961,0.136884634,0.809,0.61,1,NO
Dnaaf2,0.412012167,0.13678392,0.446,0.36,1,NO
Tpgs1,0.077220804,0.136657524,0.761,0.615,1,NO
Gm5075,0.935612254,0.136634692,0.104,0.018,1,NO
Ros1,0.940136735,0.136589268,0.115,0.117,1,NO
Gm9202,0.961250096,0.136573053,0.286,0.18,1,NO
Fam204a,0.240604992,0.136448279,0.685,0.464,1,NO
Nosip,0.170325604,0.136177009,0.707,0.484,1,NO
Sfxn5,0.030038634,0.135866153,0.894,0.678,1,NO
Gm13597,0.914865587,0.135776779,0.115,0.027,1,NO
Taf9b,0.803331998,0.135659867,0.396,0.266,1,NO
Gm11582,0.905561076,0.135655099,0.171,0.113,1,NO
Gm13736,0.959096553,0.135621952,0.284,0.176,1,NO
Rpl31-ps13,0.922821809,0.135536276,0.135,0.041,1,NO
Dnajb9,0.038160546,0.135289421,0.827,0.658,1,NO
Gclc,0.062168256,0.135166654,0.759,0.608,1,NO
Gm12791,0.967982348,0.135136078,0.173,0.095,1,NO
Fdx1,0.089130405,0.134775121,0.559,0.338,1,NO
Gm34869,0.786124887,0.134719431,0.288,0.284,1,NO
Polr2a,0.074624915,0.134543547,0.793,0.64,1,NO
Ybx1-ps2,0.919229325,0.134370634,0.11,0.034,1,NO
Tfip11,0.183136893,0.134369762,0.653,0.43,1,NO
Polr2g,0.005004059,0.134297495,0.892,0.759,1,NO
5031439G07Rik,0.052561037,0.134223278,0.869,0.707,1,NO
Gm3788,0.970672525,0.134078049,0.293,0.207,1,NO
Mrpl18,0.126196351,0.133888756,0.836,0.606,1,NO
Gm11263,0.919643459,0.133540851,0.122,0.045,1,NO
Ppie,0.324399021,0.133508519,0.448,0.286,1,NO
Acyp1,0.677272037,0.13350723,0.554,0.376,1,NO
Adamtsl4,0.884461023,0.133362096,0.146,0.101,1,NO
2310009B15Rik,0.552834863,0.133315904,0.509,0.268,1,NO
Rps8-ps1,0.904540672,0.133266531,0.126,0.043,1,NO
Nsmce4a,0.300085238,0.133191997,0.721,0.527,1,NO
Gm12728,0.989456417,0.133189098,0.277,0.178,1,NO
Clu,0.00255871,0.133056269,0.991,0.944,1,NO
Gm16500,0.980979182,0.132848831,0.142,0.095,1,NO
Dpp8,0.030384458,0.13267172,0.883,0.716,1,NO
Hormad1,0.994968977,0.132450296,0.155,0.131,1,NO
Snx8,0.221871548,0.132442102,0.682,0.527,1,NO
Fuca2,0.46069463,0.132420922,0.669,0.491,1,NO
Brd7,0.041899492,0.132301135,0.865,0.707,1,NO
Gm8464,0.919335132,0.132291767,0.169,0.059,1,NO
Ppp1r3fos,0.623392692,0.132194612,0.133,0.131,1,NO
Tm7sf3,0.342352184,0.132143183,0.592,0.405,1,NO
1700001L19Rik,0.531485681,0.132103536,0.324,0.198,1,NO
Gm32229,0.623878732,0.13192176,0.176,0.119,1,NO
Gm9001,0.916817637,0.131883148,0.14,0.079,1,NO
Vav3,0.218854439,0.131712731,0.45,0.396,1,NO
Arl5b,0.205176407,0.131657555,0.45,0.311,1,NO
Gm11221,0.919170214,0.131611305,0.178,0.092,1,NO
Gm35043,0.858274212,0.131450854,0.182,0.151,1,NO
Gm32760,0.882601504,0.131083275,0.182,0.079,1,NO
Gm9104,0.922998861,0.130879802,0.182,0.063,1,NO
Zfp655,0.128464745,0.130876874,0.748,0.606,1,NO
2310033P09Rik,0.132303653,0.130837825,0.689,0.414,1,NO
Gm5558,0.96395524,0.130768357,0.245,0.151,1,NO
Usmg5,6.63E-05,0.130264079,1,0.989,1,NO
Gm35857,0.185383825,0.130192259,0.678,0.61,1,NO
Ipo5,0.0789163,0.130084288,0.894,0.712,1,NO
Gm8283,0.996411062,0.129826303,0.169,0.106,1,NO
Aaed1,0.244880648,0.129622333,0.57,0.405,1,NO
Skida1,0.659658474,0.129541156,0.167,0.113,1,NO
Pcdhgc5,0.45926836,0.129481102,0.252,0.176,1,NO
1110008F13Rik,0.018990595,0.129458266,0.824,0.608,1,NO
C9,0.963749855,0.12936035,0.122,0.151,1,NO
Rab2a,0.001140882,0.129279249,0.991,0.932,1,NO
Pcna,0.138339774,0.129189967,0.791,0.495,1,NO
Gm2381,0.861082562,0.129056101,0.191,0.178,1,NO
Gm15531,0.915997519,0.129041945,0.212,0.079,1,NO
ATP8,0.881065939,0.129025906,0.162,0.063,1,NO
Actg-ps1,0.980528329,0.12882998,0.243,0.16,1,NO
Gm9683,0.784582927,0.128584206,0.146,0.18,1,NO
Agbl2,0.724185744,0.128280183,0.234,0.162,1,NO
Gtf2f2,0.128774636,0.128090897,0.631,0.399,1,NO
2010109A12Rik,0.148949952,0.127998593,0.441,0.43,1,NO
Gm5826,0.91271153,0.127982361,0.261,0.173,1,NO
Gm11285,0.896924036,0.127917475,0.101,0.02,1,NO
Gm8451,0.948203873,0.127849955,0.14,0.038,1,NO
Gpr137b,0.422887414,0.127616145,0.615,0.426,1,NO
Mef2d,0.11410964,0.12760572,0.919,0.734,1,NO
Il12rb2,0.212971945,0.127524409,0.613,0.484,1,NO
9530068E07Rik,0.127324567,0.127508629,0.802,0.606,1,NO
Gm11652,0.476631015,0.127411105,0.345,0.232,1,NO
Gm11964,0.985792919,0.127341039,0.227,0.137,1,NO
Gm8399,0.883986836,0.12731883,0.439,0.3,1,NO
Nsa2-ps1,0.994345129,0.127269069,0.223,0.117,1,NO
Fkbp2,0.066848223,0.12719864,0.971,0.89,1,NO
Gm8566,0.955694417,0.12716443,0.347,0.255,1,NO
Nkap,0.169791936,0.127007351,0.619,0.455,1,NO
Gm7049,0.934368659,0.12685628,0.187,0.099,1,NO
Mlxip,0.032165002,0.126796198,0.815,0.653,1,NO
Gm30635,0.482424641,0.126794764,0.358,0.279,1,NO
Gm5458,0.972805887,0.126551103,0.245,0.194,1,NO
Gatad2b,0.033516879,0.12651734,0.928,0.818,1,NO
Sumo2,0.011860036,0.126390127,0.957,0.797,1,NO
Gm2451,0.974684999,0.126377286,0.288,0.223,1,NO
Zbed5,0.26952558,0.126303385,0.245,0.18,1,NO
Otud7b,0.033181565,0.12624932,0.752,0.617,1,NO
Gm31431,0.929154349,0.126247749,0.119,0.088,1,NO
Rab7-ps1,0.917954668,0.126217716,0.234,0.149,1,NO
Ap3s1-ps1,0.904677549,0.12614103,0.291,0.198,1,NO
D830030K20Rik,0.220495679,0.1260413,0.205,0.187,1,NO
Gm29704,0.868229229,0.126007885,0.173,0.099,1,NO
Gm1848,0.936271827,0.12596096,0.304,0.167,1,NO
Mrpl34,0.25619765,0.125935112,0.691,0.457,1,NO
Metap2,0.003127699,0.125787081,0.973,0.878,1,NO
Gm7776,0.875919826,0.125779773,0.153,0.068,1,NO
Gm33680,0.913858258,0.125768931,0.104,0.108,1,NO
Wdr13,0.285620595,0.125530882,0.786,0.561,1,NO
Rpl21-ps11,0.871302011,0.125530882,0.124,0.038,1,NO
C1qbp,0.065019097,0.125417944,0.784,0.523,1,NO
Suds3,0.009507321,0.125351052,0.89,0.732,1,NO
Hint1,0.001087535,0.12521438,0.991,0.928,1,NO
Usp25,0.057328555,0.125124386,0.858,0.718,1,NO
Mvb12b,0.078151622,0.12512144,0.887,0.723,1,NO
Gm9416,0.879996087,0.125036046,0.144,0.072,1,NO
Rrp36,0.396494521,0.124864964,0.523,0.324,1,NO
Anapc7,0.099169621,0.124638271,0.644,0.444,1,NO
E2f5,0.044254263,0.12460493,0.59,0.426,1,NO
Gm4977,0.866139133,0.124498542,0.126,0.047,1,NO
Tpt1-ps2,0.876116678,0.124212027,0.108,0.027,1,NO
Pddc1,0.330214028,0.124006278,0.516,0.342,1,NO
Exosc8,0.179002134,0.123947563,0.561,0.338,1,NO
4933434E20Rik,0.048466755,0.123847034,0.881,0.727,1,NO
Gm3671,0.982225955,0.123631349,0.3,0.221,1,NO
Gm3192,0.860800486,0.123574685,0.153,0.097,1,NO
Fam154a,0.909081509,0.123472339,0.124,0.135,1,NO
Ctns,0.108981555,0.123456149,0.599,0.378,1,NO
Dctn5,0.112206662,0.123354384,0.867,0.651,1,NO
Gm4929,0.920944035,0.123339335,0.275,0.189,1,NO
Gm5430,0.859011664,0.123247775,0.227,0.155,1,NO
Cfdp1,0.014735255,0.123103206,0.944,0.851,1,NO
Rassf3,0.010098916,0.123063082,0.908,0.664,1,NO
Tbcb,0.120115611,0.122940072,0.899,0.73,1,NO
Ncln,0.072581857,0.122533385,0.775,0.568,1,NO
Bag6,0.011096309,0.122411902,0.926,0.797,1,NO
Gm10169,0.549659389,0.122404781,0.507,0.387,1,NO
Hmgxb3,0.027855449,0.12235936,0.782,0.61,1,NO
B020018G12Rik,0.910775863,0.12222032,0.16,0.07,1,NO
Serbp1,0.034300094,0.122218417,0.957,0.856,1,NO
Emc8,0.109624699,0.122158583,0.806,0.559,1,NO
Zfp358,0.207583551,0.121990524,0.338,0.198,1,NO
Gm16089,0.976922256,0.121921754,0.273,0.205,1,NO
Slc44a2,0.05032198,0.12132983,0.775,0.649,1,NO
Gm36892,0.794198012,0.121306296,0.212,0.149,1,NO
Gm21596,0.871633513,0.121257717,0.131,0.061,1,NO
Gm14567,0.923960262,0.121136438,0.225,0.171,1,NO
Gm7741,0.875889042,0.121079924,0.151,0.108,1,NO
Pgp,0.044382886,0.120883951,0.885,0.714,1,NO
Derl2,0.55362916,0.120882181,0.597,0.394,1,NO
Slc5a4b,0.941050503,0.120876044,0.142,0.182,1,NO
Veph1,0.064713002,0.120845602,0.64,0.662,1,NO
Hspb11,0.424066163,0.120840221,0.439,0.259,1,NO
Trp53inp2,0.039998097,0.120728184,0.883,0.698,1,NO
Gm10145,0.942251559,0.12060225,0.252,0.169,1,NO
Eno1b,0.934048998,0.120568571,0.354,0.266,1,NO
Rad23a,0.058557864,0.120531862,0.849,0.743,1,NO
Rnpepl1,0.092210801,0.12044065,0.743,0.59,1,NO
Gm5561,0.858786174,0.12041675,0.131,0.045,1,NO
Rpl31-ps10,0.856791474,0.120411046,0.173,0.07,1,NO
Comtd1,0.449903035,0.12031904,0.622,0.408,1,NO
Gps2,0.041410305,0.120302812,0.818,0.64,1,NO
Ck-ps1,0.823600181,0.120177648,0.169,0.106,1,NO
Ddost,0.068830557,0.120171642,0.932,0.745,1,NO
Copz1,0.006318706,0.119954544,0.93,0.727,1,NO
Bicd2,0.155755254,0.119946131,0.705,0.534,1,NO
Fnta,0.011779914,0.119853988,0.876,0.723,1,NO
Gm10359,0.938643621,0.119448106,0.34,0.282,1,NO
Fgfr1op2,0.012992777,0.119441312,0.876,0.664,1,NO
Trappc3,0.157236932,0.119425592,0.858,0.667,1,NO
Usp8,0.079041038,0.119262009,0.894,0.741,1,NO
Arhgef38,0.843812693,0.119253036,0.09,0.104,1,NO
Etv5,0.097371736,0.119203743,0.912,0.791,1,NO
1600014C10Rik,0.270806312,0.119180999,0.486,0.315,1,NO
Eif2s3x,0.15954664,0.119170803,0.671,0.448,1,NO
Scaf11,0.103439239,0.118841632,0.878,0.707,1,NO
Fam134b,0.038129139,0.118826892,0.896,0.757,1,NO
Foxk1,0.057889156,0.118784126,0.55,0.374,1,NO
Chrnb1,0.48409557,0.118711631,0.387,0.304,1,NO
Gm11687,0.864417438,0.118644496,0.101,0.023,1,NO
Ap1s1,0.024171548,0.118582903,0.932,0.797,1,NO
Gm1826,0.869807353,0.118485967,0.133,0.045,1,NO
Ak6,0.095890706,0.118417396,0.604,0.392,1,NO
Svip,0.028594847,0.118280944,0.725,0.495,1,NO
Zscan21,0.717608134,0.118258026,0.613,0.45,1,NO
Nfyb,0.256673361,0.118225606,0.511,0.347,1,NO
Tarm1,0.855618633,0.118181426,0.313,0.268,1,NO
Sec61g,0.038920934,0.118179244,0.946,0.718,1,NO
Lbr,0.197737109,0.118147639,0.536,0.403,1,NO
Gm9081,0.799644755,0.118055762,0.176,0.128,1,NO
Gm2805,0.871113889,0.117887736,0.243,0.194,1,NO
Hivep1,0.031983539,0.117745688,0.881,0.727,1,NO
Gm7589,0.849616692,0.117596231,0.117,0.052,1,NO
1110004E09Rik,0.10070073,0.117558266,0.64,0.45,1,NO
Gm20268,0.799779637,0.117543623,0.124,0.081,1,NO
Neb,0.327362631,0.117472844,0.36,0.255,1,NO
Fam162a,0.234128957,0.117380553,0.831,0.606,1,NO
Gart,0.311015208,0.117216003,0.619,0.437,1,NO
Gm19221,0.796310085,0.11693396,0.151,0.122,1,NO
Gm14108,0.840716516,0.116917752,0.122,0.038,1,NO
Gm13443,0.977945394,0.116890239,0.32,0.205,1,NO
Gm9763,0.84691738,0.1168813,0.124,0.052,1,NO
Gm12696,0.996450779,0.116858007,0.437,0.351,1,NO
Hspa4,0.008043512,0.116790271,0.939,0.876,1,NO
Atp5l2-ps,0.810119425,0.116782233,0.185,0.117,1,NO
Pir,0.56379516,0.116524684,0.221,0.16,1,NO
Sec23b,0.034085244,0.116514504,0.797,0.568,1,NO
Dguok,0.271905643,0.116500966,0.646,0.491,1,NO
Car5a,0.928054682,0.116491272,0.106,0.108,1,NO
Fam195b,0.068564901,0.116272712,0.905,0.745,1,NO
Gm13935,0.830434721,0.116193018,0.126,0.045,1,NO
Gm12261,0.847314133,0.116193018,0.124,0.045,1,NO
Gm4959,0.796504735,0.116175014,0.153,0.072,1,NO
Maf1,0.040176119,0.116076377,0.851,0.671,1,NO
Gm8349,0.900376533,0.115863843,0.293,0.248,1,NO
Map1lc3a,0.009879902,0.115837589,0.973,0.89,1,NO
Eif4e2,0.15331533,0.115655683,0.856,0.631,1,NO
Nap1l4,0.008333905,0.115583042,0.917,0.815,1,NO
