gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,color
Gm2810,0.003792061,-0.111621148,0.264,0.257,1,NO
Khdrbs1,1.42E-05,-0.111634667,0.917,0.831,0.569521934,NO
Mllt1,0.018038322,-0.111747313,0.599,0.414,1,NO
Zfp326,0.001303073,-0.111775833,0.842,0.703,1,NO
Mir8109,0.117905519,-0.112040864,0.113,0.088,1,NO
Ap3s1,0.000483699,-0.112054951,0.903,0.755,1,NO
Vamp7-ps,0.072757945,-0.112055667,0.453,0.32,1,NO
Dapk3,0.021929655,-0.112129604,0.734,0.592,1,NO
Bod1l,4.50E-06,-0.112151095,0.937,0.847,0.181051068,NO
1700018A23Rik,0.329497789,-0.112266232,0.178,0.128,1,NO
Ndufv2,1.70E-09,-0.112371069,0.98,0.941,6.84E-05,NO
2810474O19Rik,0.10921749,-0.112409715,0.644,0.473,1,NO
Rfx5,0.011385131,-0.112539127,0.538,0.441,1,NO
Rae1,0.000113126,-0.112584469,0.822,0.716,1,NO
Nexn,0.088425097,-0.112595988,0.354,0.288,1,NO
Snx10,0.000355589,-0.112766115,0.908,0.804,1,NO
Gm2244,0.026877971,-0.112894056,0.14,0.153,1,NO
Prkra,0.019252611,-0.113096506,0.543,0.378,1,NO
Zdhhc13,0.031722906,-0.113172277,0.55,0.414,1,NO
Atraid,1.71E-05,-0.113236074,0.935,0.865,0.687721434,NO
Lats1,0.010198714,-0.113245576,0.727,0.538,1,NO
Ndufa9,3.19E-05,-0.113282336,0.919,0.813,1,NO
Pram1,0.508098465,-0.11342409,0.205,0.151,1,NO
Katna1,0.039793928,-0.113651308,0.574,0.421,1,NO
Ctdsp2,0.000488955,-0.113744403,0.867,0.741,1,NO
Fkrp,0.050045328,-0.113907183,0.554,0.426,1,NO
Mettl10,0.001607884,-0.113994444,0.73,0.599,1,NO
Dnajb6,3.05E-07,-0.114040383,0.964,0.856,0.012247549,NO
Jmy,0.000781185,-0.114275085,0.782,0.676,1,NO
Rab4b,1.64E-05,-0.114487411,0.874,0.755,0.658116074,NO
Aggf1,0.000444813,-0.114583023,0.784,0.61,1,NO
Supt5,1.13E-06,-0.114712834,0.95,0.899,0.045540302,NO
Hnrnpu,1.78E-11,-0.114912805,0.989,0.977,7.14E-07,NO
Oxsm,0.128040645,-0.114989326,0.311,0.243,1,NO
Cck,0.055517047,-0.115036531,0.667,0.48,1,NO
Shb,0.01597678,-0.115106011,0.565,0.48,1,NO
Crebbp,1.62E-08,-0.115199497,0.977,0.923,0.000652409,NO
Srcap,3.41E-05,-0.115229199,0.914,0.863,1,NO
Wipf2,0.000302459,-0.115349137,0.865,0.777,1,NO
Acbd4,0.033764161,-0.115380178,0.59,0.489,1,NO
Hsd17b12,0.001386348,-0.115432558,0.856,0.777,1,NO
Il15ra,0.199283347,-0.115499453,0.324,0.252,1,NO
Dnaja2,2.54E-05,-0.11550189,0.948,0.842,1,NO
Pds5a,3.55E-05,-0.115504585,0.932,0.82,1,NO
Sdc3,0.059687345,-0.115561437,0.606,0.477,1,NO
Cep85l,0.010441827,-0.115563354,0.658,0.507,1,NO
Cmas,0.000195338,-0.115802564,0.867,0.705,1,NO
Gm12060,0.143678587,-0.115859844,0.144,0.128,1,NO
Map4k5,0.001208003,-0.116148585,0.815,0.714,1,NO
Rundc3a,3.82E-07,-0.116162884,0.973,0.896,0.015369152,NO
4933431E20Rik,0.02159698,-0.116242233,0.66,0.518,1,NO
Sar1b,0.000218351,-0.116310371,0.872,0.764,1,NO
Trhde,0.003841533,-0.116631239,0.723,0.685,1,NO
Herc2,7.25E-07,-0.116657857,0.989,0.937,0.029140246,NO
Lman1l,0.448069984,-0.116686564,0.124,0.097,1,NO
