"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"6801","Arl15",1.8166854365753e-07,1.65127166924676,0.657,0.913,0.00764007060351744
"6802","Lrpprc",1.81911613738471e-07,-0.78744919546545,0.208,0.849,0.00765029291577141
"6803","Gm34258",1.83002432354707e-07,-1.39618582571751,0.028,0.164,0.0076961672926772
"6804","Gm34455",1.84331281678066e-07,4.20358375339677,0.185,0.064,0.00775205205097105
"6805","Kif13a",1.84530832825339e-07,2.6665941354791,0.455,0.393,0.00776044417446964
"6806","LOC105242543",1.85195408048389e-07,-2.20091631575,0.011,0.173,0.00778839288547498
"6807","D130009I18Rik",1.85371491982102e-07,-0.229029862158217,0.629,0.749,0.0077957980953073
"6808","Gm5835",1.85918751421458e-07,-0.177045521353924,0.489,0.684,0.00781881309102943
"6809","Abhd2",1.87541954595142e-07,-2.15810547351266,0.101,0.433,0.00788707690049872
"6810","Itgb1bp1",1.89120181331664e-07,-1.08543097162062,0.27,0.836,0.00795344922590315
"6811","Ccdc106",1.89700705701198e-07,-0.942439599750303,0.202,0.796,0.0079778631782639
"6812","Zfp235",1.93506067066058e-07,-1.22229434349579,0.051,0.573,0.00813789765046308
"6813","Ipo9",1.9504011434799e-07,-0.786690297396277,0.36,0.929,0.00820241200890471
"6814","Fnip2",1.95677476971113e-07,1.77498895962458,0.455,0.549,0.00822921629402015
"6815","Cux1",1.95845652366619e-07,1.71324299203937,0.652,0.744,0.00823628891027818
"6816","Pigk",1.96758169965763e-07,-0.940655536449543,0.326,0.88,0.00827466483791016
"6817","Gm10778",1.99786434785843e-07,-2.33932227423717,0.067,0.184,0.00840201851491865
"6818","Sf3b4",2.03060111460302e-07,-0.499058765469062,0.438,0.976,0.00853969298746299
"6819","Asb8",2.03352246017107e-07,-1.06069614063524,0.242,0.809,0.00855197870624941
"6820","LOC105246782",2.0403022857357e-07,-1.48425750327294,0.073,0.127,0.00858049126266149
"6821","Ptbp2",2.05126941239474e-07,-0.715394752828197,0.522,0.949,0.00862661351382608
"6822","Gm20501",2.06337597371852e-07,-1.98549138454271,0.006,0.122,0.00867752765747323
