"","sample_id","major_type","contam_type","marker_sum","marker_sum_norm","contam_sum","quality_score","Glutamatergic","Astrocyte","Endothelial","GABAergic","Microglia","Oligo.OPC"
"121","SM-GE5UQ_S127_E1-50","Glutamatergic","Superficial.Layers_on",114.118215085851,0.521487434188659,NA,0.119543655099138,-Inf,-0.0091635785652358,NA,-0.0186882776398576,0.819235111945965,0.00648510004834126
"122","SM-GE5UQ_S135_E1-50","Glutamatergic","Superficial.Layers_on",194.261560186538,0.887719480250824,NA,0.503575720931542,-Inf,0.0488287306857904,NA,0.178707638311146,0.0942739856032915,0.054527314298744
"123","SM-GE5UQ_S155_E1-50","Glutamatergic","Superficial.Layers_on",187.09405818139,0.854966056729482,NA,0.325807686781815,-Inf,0.077738820932348,NA,-0.0704234432748302,0.654998263309393,0.0483660713742347
"124","SM-GE5UQ_S159_E1-50","Glutamatergic","Superficial.Layers_on",236.471285751842,1.0806057908744,NA,0.363218559546327,Inf,0.322403172191592,NA,0.00738851019518323,0.445798899891692,0.00148716691828669
"125","SM-GE5UQ_S160_E1-50","Glutamatergic","Superficial.Layers_on",235.39526787764,1.07568869854224,NA,0.50417702570715,Inf,0.160811903451051,NA,0.0879583218063735,0.337357674716001,0.0311027107495591
"126","SM-GE5UQ_S163_E1-50","Glutamatergic","Superficial.Layers_on",167.176016048704,0.763946330579526,NA,0.378047043987439,-Inf,0.101805342459579,NA,-0.0479297367178801,0.324722197725765,-0.0250356054887728
"127","SM-GE5UQ_S164_E1-50","Glutamatergic","Superficial.Layers_on",191.455706388974,0.874897535073194,NA,0.382997391253371,-Inf,0.171957970240832,NA,0.204349753863474,0.339583718473404,0.0692758125136136
"128","SM-GE5UQ_S171_E1-50","Glutamatergic","Superficial.Layers_on",232.401933681253,1.06201002184222,NA,0.468563648050312,Inf,0.00894401273283766,NA,0.0924737403244522,0.232798564095777,0.0788029900066392
"129","SM-GE5UQ_S172_E1-50","Glutamatergic","Superficial.Layers_on",178.672422671101,0.816481603650463,NA,0.346360630708639,-Inf,0.0642053323687689,NA,-0.0669414077084266,0.390546070957248,-0.0170164218381865
"130","SM-GE5UQ_S173_E1-50","Glutamatergic","Deep.Layers_on",180.295041027972,0.823896503041901,NA,0.312349733402747,-Inf,0.081674552814802,NA,-0.0536993028145025,0.220006303630111,0.111755944989976
"131","SM-GE5UQ_S174_E1-50","Glutamatergic","Superficial.Layers_on",240.995542687209,1.10128034435441,NA,0.52444182648672,Inf,0.200091635581272,NA,0.0536704799166216,0.204201461290624,-0.00307632575413648
"132","SM-GE5UQ_S176_E1-50","Glutamatergic","Superficial.Layers_on",181.990208315313,0.831642930187918,NA,0.268729664722364,-Inf,0.0393631516922257,NA,0.0936310511364231,0.66579288127938,0.0627568313048831
"133","SM-GE5UQ_S177_E1-50","Glutamatergic","Deep.Layers_on",194.722596169366,0.889826282145447,NA,0.544265912652304,-Inf,0.172878899483293,NA,0.299154889820976,0.273481556497361,0.123551643545933
"134","SM-GE5UQ_S179_E1-50","Glutamatergic","Deep.Layers_on",201.63246806224,0.921402410121827,NA,0.383098229571875,-Inf,0.172888289036772,NA,0.130903602043469,0.509520634905176,0.268599124920327
"135","SM-GE5UQ_S180_E1-50","Glutamatergic","Deep.Layers_on",142.62644222835,0.65176183617282,NA,0.402583470428947,-Inf,0.0803829292447805,NA,-0.0563734472196671,0.0651014120189609,-0.0206092741623697
"136","SM-GE5UQ_S181_E1-50","Glutamatergic","Deep.Layers_on",175.731223238211,0.803041167830984,NA,0.37264809995343,-Inf,0.0746019180863189,NA,-0.0327237001402571,0.176174257729037,0.0398413143643928
"137","SM-GE5UQ_S182_E1-50","Glutamatergic","Superficial.Layers_on",138.585175022113,0.633294406896384,NA,0.439243078378429,-Inf,0.13299970036001,NA,0.22938710134276,0.00714764867220887,-0.0181782559254174
"138","SM-GE5UQ_S183_E1-50","Glutamatergic","Superficial.Layers_on",174.902848766995,0.799255734653496,NA,0.362617556889561,-Inf,0.202551759238063,NA,-0.0291406750257723,0.629085252168257,0.0126324346575388
"139","SM-GE5UQ_S187_E1-50","Glutamatergic","Superficial.Layers_on",180.784452896417,0.826132974575784,NA,0.519899622848052,-Inf,0.139553360380942,NA,0.22993679358592,0.241979180642147,0.122793237870963
"140","SM-GE5UQ_S188_E1-50","Glutamatergic","Deep.Layers_on",176.298817751255,0.805634911573333,NA,0.485073262701583,-Inf,0.0972808462606686,NA,0.1874368730844,0.231428885839348,0.0579658323343182
