"","sample_id","major_type","contam_type","marker_sum","marker_sum_norm","contam_sum","quality_score","GABAergic","Astro","Endo","Glutamatergic","Microglia","Oligo","Peri","SMC","VLMC"
"2516","SM-GE681_S068_E1-50","GABAergic","Sst_on",198.190428398495,0.900053851267432,NA,0.483321025034638,-Inf,0.122072103628632,NA,0.260115260069634,0.0382169817158389,0.101903310707009,NA,NA,0.0412290957366923
"2517","SM-GE681_S069_E1-50","GABAergic","Sst_on",184.333784426271,0.83712585886325,NA,0.446341696448222,-Inf,0.147895268447672,NA,0.158189133668454,0.0412037564178429,0.162786011062734,NA,NA,0.0298407683852814
"2518","SM-GE681_S070_E1-50","GABAergic","Sst_on",179.673600735463,0.815962292527486,NA,0.377618857208855,-Inf,0.194807368242938,NA,0.779202685626336,0.28214792282367,0.245241307620891,NA,NA,0.0235981332645781
"2519","SM-GE681_S071_E1-50","GABAergic","Sst_on",216.563451033264,0.983492339773029,NA,0.502207901493364,-Inf,0.107609041969287,NA,0.0802420894265583,0.0274031389227203,0.0798221082982762,NA,NA,-0.0191109344014104
"2520","SM-GE681_S073_E1-50","GABAergic","Sst_on",181.619226032109,0.824798075140802,NA,0.426359722096778,-Inf,0.109778713914026,NA,0.255859780823589,0.0138226819775076,0.0844383944767952,NA,NA,-0.0183386706124367
"2521","SM-GE681_S075_E1-50","GABAergic","Pvalb_on",154.559311725876,0.701909294471129,NA,0.455756117768514,-Inf,0.0823727144282853,NA,0.106340560900902,0.00276268023258275,0.0367047632833046,NA,NA,0.0205170038599925
"2522","SM-GE681_S076_E1-50","GABAergic","Sst_on",206.660302866913,0.938518590441029,NA,0.401944884431172,-Inf,0.103875804324252,NA,0.237113530707516,0.230537398265249,0.0782838537520116,NA,NA,0.0619906482031385
"2523","SM-GE681_S077_E1-50","GABAergic","Pvalb_on",179.29913189454,0.814261695151638,NA,0.47264149715389,-Inf,0.103162006730355,NA,0.103409457829548,0.0239360187432525,0.077308254628749,NA,NA,0.0666807318998983
"2524","SM-GE681_S078_E1-50","GABAergic","Sst_on",194.204200397912,0.881950959553907,NA,0.387260818352393,-Inf,0.135385055407766,NA,0.016625890746388,0.0297242823031826,0.0716249488280528,NA,NA,0.0122290517310063
"2525","SM-GE681_S079_E1-50","GABAergic","Sst_on",186.769181642924,0.848185871508298,NA,0.450472514083769,-Inf,-0.00205545002646543,NA,0.0945849862031544,0.0233320990812924,0.107698138631692,NA,NA,0.0120256239829935
