,ephys_session_id,adapt,avg_rate,first_isi,isi_cv,latency,mean_isi,median_isi,stim_amp,threshold_v,peak_v,trough_v,fast_trough_v,slow_trough_v,adp_v,width,upstroke_downstroke_ratio,peak_t,fast_trough_t,trough_t,slow_trough_t,rheo_first_isi,v_baseline,rheobase_i,fi_fit_slope,sag,vm_for_sag,input_resistance,tau
185,sub-746220153_ses-750776531_icephys.nwb,0.03670269889751775,18.000360007200147,0.023580000000000045,0.3048104113070632,0.04249999999999998,0.054296470588235286,0.053660000000000034,80.0,-41.818748474121094,26.36250114440918,-56.79999923706055,-56.7437515258789,,,0.0006000000000000449,0.8769791841959247,0.66208,0.66354,0.6634399999999999,,0.2186,-74.68961673312718,40.0,0.38190418687654426,0.19374917447566986,-96.4562530517578,274.53115582466125,0.02521009706138122
186,sub-746220755_ses-750421072_icephys.nwb,0.012583991933362166,15.000300006000122,0.059040000000000085,0.12554679648726685,0.036719999999999975,0.06784428571428572,0.06941000000000003,130.0,-32.375,32.44375228881836,-49.66875076293945,-48.22500228881836,-49.66875076293945,,0.0010799999999999699,1.3598885376453391,0.598,0.60322,0.60938,0.60938,0.17620000000000002,-67.43402004241943,90.0,0.22500450009000186,0.051170464605092995,-84.3375015258789,194.21862065792084,0.00996976375161414
187,sub-717036602_ses-719100862_icephys.nwb,0.02215013629418773,17.000340006800133,0.036599999999999966,0.17218352223906602,0.03868000000000005,0.0569025,0.058150000000000035,100.0,-36.53125,34.78125,-55.00000381469727,-54.90625381469727,,,0.0007800000000000028,0.9790691734476552,0.63642,0.63858,0.63868,,,-69.78603267669678,59.99999618530274,0.3800076245665493,0.11063041538000107,-93.43750762939452,300.7814288139343,0.025972919815913573
188,sub-760005583_ses-762463728_icephys.nwb,0.1481030018980369,11.000220004400088,0.01969999999999994,1.1679064637601293,0.012620000000000077,0.07418200000000001,0.03186,100.0,-41.13125228881836,30.55000114440918,-47.89999771118164,-47.84375,,,0.0007399999999999629,1.1796856457064049,0.55138,0.5534399999999999,0.5536,,,-61.71371994018555,59.99999618530274,0.3000060134717056,0.11667138338088988,-82.28125762939453,274.4531631469726,0.019171408114857208
189,sub-853715067_ses-855835335_icephys.nwb,0.4196553999210469,7.000140002800058,0.005299999999999971,1.4667639798937118,0.025780000000000025,0.14881666666666665,0.06472,80.0,-33.25625228881836,47.79375457763672,-40.32500076293945,-40.275001525878906,,,0.0006599999999999938,1.1590404807467654,0.6328,0.63456,0.63446,,0.011859999999999982,-66.32308502197266,40.0,0.17000339930504574,0.16159412264823916,-103.09375762939452,369.9687123298645,0.022830104062420902
190,sub-868713220_ses-874324589_icephys.nwb,0.013513047943179429,29.00058001160023,0.023299999999999987,0.26402035889909337,0.07584000000000002,0.032636428571428566,0.03161999999999998,290.0,-33.59999847412109,29.60625076293945,-52.78750228881836,-52.78125381469727,,,0.000500000000000056,0.7351067601411886,0.65774,0.65908,0.6590199999999999,,0.059700000000000086,-75.36397107442221,249.9999847412109,0.6413920135383827,0.014111159369349481,-85.29999542236328,90.25001525878906,0.0057434375661111975
191,sub-693264825_ses-696128291_icephys.nwb,0.07984515340786283,17.000340006800133,0.007639999999999869,0.6246265600588677,0.021460000000000038,0.05723625,0.05936999999999992,90.0,-47.56250381469727,5.875000476837157,-55.00000381469727,-49.00000381469727,-55.00000381469727,,0.0007600000000000938,1.350789478146171,0.5784799999999999,0.5811,1.10014,1.10014,0.7659999999999998,-74.88209438323975,50.0,0.22286160008914474,0.05043523758649826,-101.34375762939452,242.18729138374331,0.014045566727105241
192,sub-836125503_ses-838434177_icephys.nwb,0.10909765607117154,8.000160003200065,0.050960000000000005,0.5452444174539083,0.044619999999999986,0.1356,0.14488000000000012,80.0,-36.38750457763672,41.76250076293945,-53.98750305175781,-53.80624771118164,,,0.0009600000000000721,1.2201974946266148,0.8157800000000001,0.8183600000000001,0.8191,,0.6071599999999999,-68.87240531227805,40.0,0.16500329710955106,0.07967405766248703,-101.04999542236328,296.6543138027191,0.02668585465333904
193,sub-755664855_ses-759529111_icephys.nwb,0.04670168556495128,17.000340006800133,0.023240000000000042,0.4556017240391962,0.006780000000000008,0.060681249999999985,0.056530000000000025,90.0,-43.15625,21.543750762939453,-53.15625381469727,-51.78125381469727,-53.15625381469727,,0.0008799999999999918,1.5059692118911447,0.5497000000000001,0.55898,0.56386,0.56386,0.65088,-59.632705264621315,50.0,0.2603500261499433,0.05246211215853691,-79.35625457763672,269.68765258789057,0.01249720648570124
194,sub-668456803_ses-671544407_icephys.nwb,0.0011731615727111778,57.00114002280046,0.009539999999999882,2.1175645699992462,0.01730000000000009,0.017341071428571424,0.012170000000000014,300.0,-34.84375,10.062500953674316,-59.93750381469727,-59.62500381469727,,,0.00048000000000003606,0.4845283774484391,1.13724,1.13838,1.13816,,0.01566000000000001,-73.54914474487305,260.0,0.7567893293349739,0.07017455995082855,-86.68750762939453,110.93764752149582,0.006587985153635125
