ephys_session_id,adapt,avg_rate,first_isi,isi_cv,latency,mean_isi,median_isi,stim_amp,threshold_v,peak_v,trough_v,fast_trough_v,slow_trough_v,adp_v,width,upstroke_downstroke_ratio,peak_t,fast_trough_t,trough_t,slow_trough_t,rheo_first_isi,v_baseline,rheobase_i,fi_fit_slope,sag,vm_for_sag,input_resistance,tau
768860839,0.204131014,8.000160003,0.00674,0.57563069,0.0509,0.11932,0.15864,90,-38.80624771,43.54999924,-46.39375305,-46.38124847,,,0.00094,1.354168996,0.7211,0.7233,0.72328,,0.01114,-66.08115339,50,0.170003396,0.13151373,-83.59999847,160.3749841,0.021178137
652075387,,1.00002,,,0.06684,,,350,-42.6875,40.4375,-62.28125381,-55.75,,,0.00094,1.319777224,0.62076,0.62344,0.6859,,,-76.5763092,310,-1.82E-18,0.145795614,-82.21875,49.53136295,0.017361687
596049412,,1.00002,,,0.09306,,,140,-50.03125381,26.21875191,-59.28125381,-58.28125381,,,0.001,1.363040219,0.58548,0.5882,0.6536,,,-68.93599116,90,0.071301876,0.179082394,-81.59375,95.76931596,0.020840109
674635802,0.232863902,5.000100002,0.0692,0.431914101,0.05548,0.21914,0.24877,620,-33.34375,46.03125,-41.40625,-41.40625,,,0.00098,1.434184616,0.5788,0.58136,0.58136,,,-75.36916055,580,0.049460449,0.032258999,-80.53125763,30.78121133,0.01918214
738027216,0.076339654,16.00032001,0.01138,0.526146797,0.05874,0.060306667,0.05084,59.99999619,-50.89374924,34.40625381,-61.06875229,-60.92500305,,,0.00128,1.936808045,0.76184,0.76566,0.76618,,0.01944,-77.21232834,20,0.280005605,0.033087451,-102.6125031,352.4150252,0.050821817
770337117,0.127405974,9.000180004,0.01048,0.352910095,0.0507,0.1173875,0.1302,230,-38.19375229,49.03125381,-48.76875305,-48.68125153,,,0.00094,1.34088338,0.60738,0.60986,0.60996,,,-67.11476994,190,0.165003343,0.065271087,-72.44999695,64.84374404,0.015792716
758967664,0.381567226,4.000080002,0.0258,0.659997288,0.08192,0.278713333,0.35242,130,-38.29375458,50.38750076,-54.35625458,-49.10625076,,,0.00106,1.480346733,0.73132,0.73422,0.85146,,,-69.3105757,90,0.088794879,0.034920584,-79.30000305,130.9373826,0.035663322
689354505,0.376199616,3.000060001,0.0065,0.376199616,0.05498,0.01042,0.01042,110,-38.75,52.34375381,-48.37500381,-48.1875,,,0.001,1.530402402,0.72104,0.72362,0.72376,,0.01314,-63.35624552,70,0.056205504,0.165929779,-74.96875763,117.3438206,0.022916026
721570928,0.963404772,3.000060001,0.00724,0.963404772,0.03096,0.19784,0.19784,300,-41.43750381,41.53125381,-47.0625,-47.0625,,,0.0009,1.233467431,0.54174,0.5437,0.5437,,,-68.56930627,260,0.0914304,0.026533864,-77.65625763,91.25007689,0.016830325
695557325,0.029696384,12.00024,0.04848,0.178917183,0.06658,0.077334545,0.08118,100,-41.37500381,36.625,-55.09375381,-53.90625,-55.09375381,,0.00094,1.168317212,0.8918,0.894,0.94484,0.94484,0.52606,-74.56518097,59.99999619,0.179505958,0.005793704,-94.00000763,158.7501168,0.022273417
685806296,0.085189796,7.000140003,0.06458,0.25591613,0.05744,0.130063333,0.13895,200,-39,51.06250381,-50.31250381,-50.25,,,0.00096,1.329774952,0.6066,0.60898,0.60896,,,-70.47948162,160,0.071932575,0.034409784,-82.71875,107.0313603,0.020851434
596036386,,1.00002,,,0.06176,,,410,-41.21875,41.12500381,-55.00000381,-51.09375381,,,0.00088,1.268105092,0.6004,0.60266,0.68506,,,-73.45286463,370,0.075267475,0.094572522,-78.9375,43.88020933,0.01339999
758319675,0.036654835,12.00024,0.03918,0.178846608,0.0416,0.080221818,0.08304,140,-40.56874847,48.32500076,-53.46250153,-53.42500305,,,0.00084,1.176480679,0.6655,0.66776,0.6679,,0.55288,-71.37580338,100,0.227664116,0.01414907,-81.93750763,142.8125352,0.014077109
758661907,0.128164208,5.000100002,0.10978,0.256584904,0.08868,0.185345,0.19584,130,-36.6875,51.60000229,-52.84375381,-51.9375,,,0.00088,1.240411212,0.81218,0.81486,0.86698,,,-71.49226828,90,0.137385925,0.042368118,-83.70000458,125.7588267,0.027969552
786520736,,2.000040001,0.01348,0,0.04508,0.01348,0.01348,230,-34.68124771,58.27499771,-47.52500153,-45.54999924,,,0.00112,1.654965118,0.59252,0.59538,0.71824,,,-59.52895529,190,0.015000305,0.031307351,-67.28125,58.75908583,0.016674803
767061006,0.290733606,4.000080002,0.10642,0.441142178,0.10862,0.279486667,0.34764,249.9999847,-37.37500381,54.23750305,-49.79375458,-49.40000153,,,0.00096,1.416060582,0.63142,0.63422,1.49962,,,-65.89196472,200,0.070903057,0.051593203,-71.08750153,62.8907159,0.019680762
720795676,0.157818551,5.000100002,0.09444,0.312355129,0.07158,0.198255,0.22262,190,-40.71875381,47.71875381,-58.75000381,-53.90625,,,0.00094,1.282881423,0.69878,0.70132,0.781,,,-74.16038444,150,0.0864303,0.036357846,-83.34375,76.09367371,0.01956784
592535960,0.454387159,4.000080002,0.08072,0.741141085,0.06482,0.284746667,0.19812,70,-32.65625381,47.6875,-49.78125,-48.40625,,,0.00152,2.204801304,0.68346,0.68894,0.74876,,,-53.79098077,29.99999809,0.072568361,0.071515583,-88.43750763,301.0416031,0.077866068
770466547,,2.000040001,0.0087,0,0.05262,0.0087,0.0087,270,-38.125,53.86249924,-51.53125,-47.75000381,,,0.00104,1.507500715,0.63126,0.6339,0.73646,,,-63.4741834,230,0.040518043,0.103170224,-67.70625305,59.84363332,0.015505199
774378831,0.053531678,6.000120002,0.12028,0.151522241,0.07414,0.170872,0.18018,130,-34.26875305,46.98125458,-52.78750229,-43.93124771,,,0.0011,1.563075349,0.82288,0.82596,0.9015,,,-65.3619957,90,0.1150023,0.033590052,-75.4375,127.8123856,0.024454012
737191617,0.02534505,12.00024,0.06124,0.136218827,0.0821,0.081574545,0.08188,100,-38.73750305,38.28750229,-57.53125381,-57.48125076,,,0.00078,0.977401143,0.74,0.74204,0.74216,,0.2555,-70.67846002,59.99999619,0.225004482,0.012884847,-92.17500305,252.9687881,0.055525651
786448011,0.128590189,6.000120002,0.06814,0.307019009,0.08464,0.173588,0.19662,230,-39.75624847,51.34375381,-51.66875076,-48.84375381,,,0.00102,1.50718109,0.68442,0.68714,0.7718,,,-74.45661087,190,0.105002127,0.014632729,-82.90000153,77.53124088,0.017285889
758522739,0.268279951,3.000060001,0.19624,0.268279951,0.10284,0.26819,0.26819,130,-49.19375229,46.39375305,-58.88125229,-58.85625076,,,0.001,1.404660962,0.6039,0.60638,0.60654,,0.19624,-71.96927699,130,0.000860849,0.007331484,-79.86875916,122.3010644,0.02589208
770320403,0.132029919,7.000140003,0.0412,0.328169997,0.04232,0.148623333,0.166,170,-42.91250229,31.89375305,-56.70625305,-56.68750381,,,0.00116,1.265594765,0.5947,0.59718,0.59716,,,-71.33279588,130,0.1550031,0.119834751,-79.86875916,118.7499985,0.018978156
695521496,0.077246389,6.000120002,0.09236,0.196056477,0.08704,0.150368,0.1637,200,-29.12500191,54.21875381,-41.50000381,-40.84375,,,0.00088,1.20670928,0.7396,0.74172,0.79558,,,-70.59045938,160,0.094829481,0.011293477,-86.37500763,138.906166,0.028218504
674613868,0.07467551,8.000160003,0.0556,0.23714375,0.07006,0.119554286,0.13238,180,-38.90625,47.40625381,-53.4375,-53.40625381,,,0.0008,1.145826423,0.65522,0.65734,0.65736,,,-78.04061661,140,0.10560556,0.02679313,-91.12500763,104.3749973,0.018337974
665711421,,2.000040001,0.69576,0,0.28734,0.69576,0.69576,130,-50.03125381,35.5,-65.125,-62.65625381,-65.125,,0.00102,1.276856635,0.78846,0.7909,0.84754,0.84754,0.69576,-87.8669548,130,0.143752875,-0.00631807,-99.03125763,91.40624851,0.022340904
