cell_specimen_id,v_baseline,rheobase_i,fi_fit_slope,sag,vm_for_sag,input_resistance,tau,hero_adapt,hero_avg_rate,hero_first_isi,hero_isi_cv,hero_latency,hero_mean_isi,hero_median_isi,hero_stim_amp,rheo_threshold_v,rheo_trough_v,rheo_fast_trough_v,rheo_slow_trough_v,rheo_adp_v,rheo_width,rheo_upstroke_downstroke_ratio,rheo_peak_t,rheo_fast_trough_t,rheo_trough_t,rheo_slow_trough_t,rheo_peak_v,qc_blowout_mv,qc_electrode_0_pa,qc_recording_date,qc_seal_gohm,qc_input_resistance_mohm,qc_initial_access_resistance_mohm,qc_input_access_resistance_ratio,file_id,file_name
601940782,-78.24645579944958,190.0,0.09791862729094157,0.10361164063215256,-87.68750762939453,84.5051109790802,0.016923403746556685,0.3555353539580797,5.000100002000041,0.010460000000000136,0.5668379315088555,0.07143999999999995,0.20509500000000006,0.24725,230.0,-44.90625,-54.03125381469727,-53.96875381469727,,,0.0008799999999999918,1.333550859181708,0.6578999999999999,0.66028,0.66038,,45.43750381469727,,43.90250015258789,2017-07-11 21:58:43,3.509889792,96.886472,7.870414500000001,0.08123336867916918,601940724,sub-601901227_ses-601940724_icephys.nwb
786464137,-80.31186141967774,119.99999237060548,0.2300045760589291,0.015332086943089962,-94.4000015258789,117.61155724525452,0.015505740097214131,0.030911378093927883,12.000240004800098,0.048599999999999983,0.14787119550899827,0.06932000000000005,0.07929636363636362,0.0816800000000002,160.0,-40.86249923706055,-53.78125381469727,-53.73125076293945,,,0.0008599999999999719,1.2346814192824005,0.8093600000000001,0.8116399999999999,0.81174,,53.6812515258789,,-91.47000122070312,2018-11-28 05:43:37,6.195533312,148.55336,10.301076,0.06934259851140358,786464112,sub-786359945_ses-786464112_icephys.nwb
774350590,-65.2440128326416,70.0,0.15500310006200127,0.07451757788658142,-79.08125305175781,180.781364440918,0.027308268776417236,0.07055222930219239,9.000180003600073,0.05220000000000002,0.2305844688445785,0.05869999999999996,0.116665,0.12212000000000005,110.0,-34.22500228881836,-46.70000457763672,-42.318748474121094,-46.70000457763672,,0.0009799999999999807,1.4834178595893557,0.68538,0.68818,0.76526,0.76526,58.13750076293945,,-49.65312576293945,2018-11-06 21:55:44,3.212148736,131.631128,6.806960000000001,0.051712388273387734,774350500,sub-774230643_ses-774350500_icephys.nwb
685767564,-69.093628516564,230.0,0.09387342281423236,0.008791830390691755,-77.90625,81.56234771013258,0.017508732999339097,0.1183228720668092,5.000100002000041,0.1148800000000001,0.2456810648254344,0.0625,0.19797,0.21922999999999992,270.0,-33.781253814697266,-47.43750381469727,-44.1875,,,0.0009600000000000721,1.3995777889843546,0.6472600000000001,0.6498599999999999,0.7016399999999999,,57.1875,,-25.75,2018-04-18 02:27:30,4.0521515520000015,75.81318399999998,10.046765,0.13252002448545094,685767550,sub-685740095_ses-685767550_icephys.nwb
674660116,-72.72641343336839,310.0,0.03142311540918055,0.13167479634284973,-77.34375762939453,51.09370872378349,0.01646591812762316,,2.0000400008000163,0.007779999999999898,0.0,0.06112000000000006,0.007779999999999898,0.007779999999999898,360.0,-42.4375,-59.40625381469727,-50.15625,,,0.0008999999999999008,1.3780231019158018,0.6326799999999999,0.6349400000000001,0.71444,,47.40625381469727,,46.70500183105469,2018-03-21 01:17:49,1.3639281920000002,52.616172,5.6933099999999985,0.10820456493870363,674660103,sub-674562997_ses-674660103_icephys.nwb
653034602,-71.91543706258138,239.9999847412109,-0.04000079696418175,0.10418562591075896,-81.31250762939453,70.93746215105055,0.018331769820638538,0.13610667412645416,9.000180003600073,0.012000000000000009,0.3559944853358992,0.03868000000000005,0.10407249999999997,0.11204000000000004,239.9999847412109,-44.53125381469727,-52.15625,-52.12500381469727,,,0.0008599999999998609,1.3608759761357343,0.53976,0.54202,0.5422,,49.0625,,-11.087499618530273,2017-12-12 22:14:50,1.422438528,95.639488,8.834980999999997,0.09237796212376208,653034589,sub-653027578_ses-653034589_icephys.nwb
596053384,-73.51003283546085,300.0,0.03953567443441891,0.11489729583263394,-80.0625,55.46865239739418,0.013375250709694114,,1.0000200004000082,,,0.05659999999999999,,,350.0,-45.3125,-56.50000381469727,-55.00000381469727,,,0.0008200000000000429,1.2416399475241455,0.5971,0.59914,0.65958,,45.43750381469727,,22.44750022888184,2017-06-16 04:22:32,2.6067668480000004,59.958848,6.9166855,0.11535721133267934,596053349,sub-595954915_ses-596053349_icephys.nwb
672646275,-65.08582523890904,70.0,0.15000300006000122,0.04532809928059578,-89.75000762939453,297.65623807907104,0.032830679539298045,0.07779449744585551,17.000340006800133,0.007840000000000071,0.4771946344234724,0.038899999999999935,0.05699875,0.0670900000000001,70.0,-37.46875,-35.90625,-35.843753814697266,,,0.00120000000000009,2.011155912732157,0.5401,0.5431600000000001,0.5431999999999999,,49.375,,-63.477500915527344,2018-03-14 00:37:04,2.650693376,296.545888,8.932868,0.030123054682181263,672646262,sub-672637567_ses-672646262_icephys.nwb
770275864,-68.34713745117189,40.0,0.2025902681110828,0.004791753832250834,-87.91875457763672,221.64076566696167,0.03355613019995126,0.01977306535071169,15.000300006000122,0.04076000000000002,0.13279530985343366,0.05608000000000002,0.06676999999999997,0.06985999999999992,80.0,-42.56875228881836,-53.40625381469727,-52.48749923706055,-53.40625381469727,,0.0009000000000000119,1.17841343531618,0.8359200000000001,0.83814,0.8854200000000001,0.8854200000000001,25.312501907348636,,42.84500122070313,2018-10-30 22:54:43,1.729031168,164.95991999999995,13.765261,0.08344609405727163,770275704,sub-770227957_ses-770275704_icephys.nwb
768885440,-63.950232097080786,140.0,0.05535825002214325,0.17506957054138186,-69.45625305175781,82.65628665685655,0.014175660692097438,,2.0000400008000163,0.011319999999999995,0.0,0.05493999999999999,0.011319999999999995,0.011319999999999995,180.0,-37.349998474121094,-52.8062515258789,-46.47500228881836,,,0.001060000000000061,1.6078802546844029,0.6181800000000001,0.621,0.7497,,51.66250228881836,,6.59499979019165,2018-10-26 02:58:41,1.9012348159999999,63.617716,7.173475999999999,0.11275909370905425,768885416,sub-768678784_ses-768885416_icephys.nwb
689360253,-79.69532267252605,90.0,0.12500251340170948,0.011508995667099951,-95.31250762939452,128.74984741210938,0.019038260783618324,0.03483005990876652,9.000180003600073,0.06774000000000012,0.15044025986168555,0.08501999999999987,0.1003475,0.10684000000000003,130.0,-40.09375381469727,-57.84375381469727,-57.81250381469727,,,0.000920000000000032,1.1446970662222884,0.8423,0.8446799999999999,0.8447,,45.78125,,-13.77750015258789,2018-04-25 03:49:07,1.643769728,180.580176,8.708893999999999,0.04822729821683195,689360240,sub-689168779_ses-689360240_icephys.nwb
786456546,-76.79828219943577,140.0,0.18571800007428746,0.03521420806646347,-88.48749542236328,96.18759155273438,0.011107678997054612,0.016432181098698918,10.000200004000082,0.07920000000000005,0.0891214192073441,0.07818000000000003,0.1007,0.10223999999999987,180.0,-38.42500305175781,-52.4000015258789,-49.45624923706055,-52.4000015258789,-47.38750457763672,0.0008199999999999318,1.1876630663016057,0.78172,0.78386,0.8288200000000001,0.8288200000000001,49.73750305175781,,4.863749980926514,2018-11-28 05:21:39,2.6978570239999997,135.872016,7.328608,0.0539375819668415,786456524,sub-786359945_ses-786456524_icephys.nwb
700862529,-60.79227676391603,260.0,0.04935444097503107,0.17326000332832334,-67.90625,55.62515184283257,0.022543260129245544,,2.0000400008000163,0.034560000000000146,0.0,0.04051999999999989,0.034560000000000146,0.034560000000000146,300.0,-39.0625,-47.59375381469727,-47.50000381469727,,,0.0012600000000000386,2.30968432401028,0.55274,0.5563199999999999,0.5566800000000001,,57.46875381469727,,10.737500190734863,2018-05-22 23:41:45,1.305516544,49.372364000000005,4.5801475,0.0927674336193422,700862472,sub-700619648_ses-700862472_icephys.nwb
676983527,-79.13210868835448,140.0,0.11029632357353032,0.01462720800191164,-89.78125762939453,94.68737989664078,0.014327997801441884,,2.0000400008000163,0.33807999999999994,0.0,0.05126000000000008,0.33807999999999994,0.33807999999999994,180.0,-43.68750381469727,-60.375,-54.50000381469727,,,0.0008200000000000429,1.1462147646954164,0.67882,0.6809399999999999,0.73034,,45.0625,,25.20000076293945,2018-03-27 20:08:30,2.00179776,163.92654399999995,8.665989,0.0528650747373775,676983132,sub-676839274_ses-676983132_icephys.nwb
